Time	CellId	RNTI	BWPId	SINR(dB)
7.1427e-05	1	0	0	9.27235
7.1427e-05	1	0	0	17.8251
7.1427e-05	1	0	0	18.4295
7.1427e-05	1	0	0	-6.03366
7.1427e-05	1	0	0	10.3456
7.1427e-05	1	0	0	4.51566
0.00507143	1	0	0	8.39019
0.00507143	1	0	0	12.1452
0.00507143	1	0	0	12.7088
0.00507143	1	0	0	-2.30142
0.00507143	1	0	0	3.08193
0.00507143	1	0	0	3.94164
0.0100714	1	0	0	8.39019
0.0100714	1	0	0	12.1452
0.0100714	1	0	0	12.7088
0.0100714	1	0	0	-2.30142
0.0100714	1	0	0	3.08193
0.0100714	1	0	0	3.94164
0.0150714	1	0	0	8.39019
0.0150714	1	0	0	12.1452
0.0150714	1	0	0	12.7088
0.0150714	1	0	0	-2.30142
0.0150714	1	0	0	3.08193
0.0150714	1	0	0	3.94164
0.0200714	1	0	0	8.39019
0.0200714	1	0	0	12.1452
0.0200714	1	0	0	12.7088
0.0200714	1	0	0	-2.30142
0.0200714	1	0	0	3.08193
0.0200714	1	0	0	3.94164
0.0250714	1	1	0	8.39019
0.0250714	1	2	0	12.1452
0.0250714	1	3	0	12.7088
0.0250714	1	4	0	-2.30142
0.0250714	1	5	0	3.08193
0.0250714	1	6	0	3.94164
0.0260714	1	1	0	8.39019
0.0260714	1	2	0	12.1452
0.0260714	1	3	0	12.7088
0.0260714	1	4	0	-2.30142
0.0260714	1	5	0	3.08193
0.0260714	1	6	0	3.94164
0.0300714	1	1	0	8.39019
0.0300714	1	2	0	12.1452
0.0300714	1	3	0	12.7088
0.0300714	1	4	0	-2.30142
0.0300714	1	5	0	3.08193
0.0300714	1	6	0	3.94164
0.0350714	1	1	0	8.39019
0.0350714	1	2	0	12.1452
0.0350714	1	3	0	12.7088
0.0350714	1	4	0	-2.30142
0.0350714	1	5	0	3.08193
0.0350714	1	6	0	3.94164
0.0400714	1	1	0	8.39019
0.0400714	1	2	0	12.1452
0.0400714	1	3	0	12.7088
0.0400714	1	4	0	-2.30142
0.0400714	1	5	0	3.08193
0.0400714	1	6	0	3.94164
0.0450714	1	1	0	8.39019
0.0450714	1	2	0	12.1452
0.0450714	1	3	0	12.7088
0.0450714	1	4	0	-2.30142
0.0450714	1	5	0	3.08193
0.0450714	1	6	0	3.94164
0.0500714	1	1	0	8.39019
0.0500714	1	2	0	12.1452
0.0500714	1	3	0	12.7088
0.0500714	1	4	0	-2.30142
0.0500714	1	5	0	3.08193
0.0500714	1	6	0	3.94164
0.0550714	1	1	0	8.39019
0.0550714	1	2	0	12.1452
0.0550714	1	3	0	12.7088
0.0550714	1	4	0	-2.30142
0.0550714	1	5	0	3.08193
0.0550714	1	6	0	3.94164
0.0600714	1	1	0	8.39019
0.0600714	1	2	0	12.1452
0.0600714	1	3	0	12.7088
0.0600714	1	4	0	-2.30142
0.0600714	1	5	0	3.08193
0.0600714	1	6	0	3.94164
0.0650714	1	1	0	8.39019
0.0650714	1	2	0	12.1452
0.0650714	1	3	0	12.7088
0.0650714	1	4	0	-2.30142
0.0650714	1	5	0	3.08193
0.0650714	1	6	0	3.94164
0.0660714	1	1	0	8.39019
0.0660714	1	2	0	12.1452
0.0660714	1	3	0	12.7088
0.0660714	1	4	0	-2.30142
0.0660714	1	5	0	3.08193
0.0660714	1	6	0	3.94164
0.0670714	1	1	0	8.39019
0.0670714	1	2	0	12.1452
0.0670714	1	3	0	12.7088
0.0670714	1	4	0	-2.30142
0.0670714	1	5	0	3.08193
0.0670714	1	6	0	3.94164
0.0700714	1	1	0	8.39019
0.0700714	1	2	0	12.1452
0.0700714	1	3	0	12.7088
0.0700714	1	4	0	-2.30142
0.0700714	1	5	0	3.08193
0.0700714	1	6	0	3.94164
0.0750714	1	1	0	8.39019
0.0750714	1	2	0	12.1452
0.0750714	1	3	0	12.7088
0.0750714	1	4	0	-2.30142
0.0750714	1	5	0	3.08193
0.0750714	1	6	0	3.94164
0.0800714	1	1	0	8.39019
0.0800714	1	2	0	12.1452
0.0800714	1	3	0	12.7088
0.0800714	1	4	0	-2.30142
0.0800714	1	5	0	3.08193
0.0800714	1	6	0	3.94164
0.0850714	1	1	0	8.39019
0.0850714	1	2	0	12.1452
0.0850714	1	3	0	12.7088
0.0850714	1	4	0	-2.30142
0.0850714	1	5	0	3.08193
0.0850714	1	6	0	3.94164
0.0900714	1	1	0	8.39019
0.0900714	1	2	0	12.1452
0.0900714	1	3	0	12.7088
0.0900714	1	4	0	-2.30142
0.0900714	1	5	0	3.08193
0.0900714	1	6	0	3.94164
0.0950714	1	1	0	8.39019
0.0950714	1	2	0	12.1452
0.0950714	1	3	0	12.7088
0.0950714	1	4	0	-2.30142
0.0950714	1	5	0	3.08193
0.0950714	1	6	0	3.94164
0.0960714	1	1	0	8.39019
0.0960714	1	2	0	12.1452
0.0960714	1	3	0	12.7088
0.0960714	1	4	0	-2.30142
0.0960714	1	5	0	3.08193
0.0960714	1	6	0	3.94164
0.100071	1	1	0	8.39019
0.100071	1	2	0	12.1452
0.100071	1	3	0	12.7088
0.100071	1	4	0	-2.30142
0.100071	1	5	0	3.08193
