Time	CellId	RNTI	BWPId	SINR(dB)
0.504929	1	1	0	5.31418
0.504929	1	2	0	17.9321
0.504929	1	3	0	22.9485
0.504929	1	4	0	12.6069
0.504929	1	5	0	18.036
0.504929	1	6	0	19.5535
0.505929	1	1	0	5.31418
0.505929	1	2	0	17.9321
0.505929	1	3	0	22.9485
0.505929	1	4	0	12.6069
0.505929	1	5	0	18.036
0.505929	1	6	0	19.5535
0.506929	1	1	0	5.13456
0.506929	1	2	0	17.798
0.506929	1	3	0	22.8353
0.506929	1	4	0	12.3304
0.506929	1	5	0	17.9459
0.506929	1	6	0	19.2466
0.507857	1	1	0	5.10222
0.507857	1	2	0	17.7727
0.507857	1	3	0	22.8123
0.507857	1	4	0	12.2856
0.507857	1	5	0	17.9278
0.507857	1	6	0	19.1842
0.508857	1	1	0	5.10222
0.508857	1	2	0	17.7727
0.508857	1	3	0	22.8123
0.508857	1	4	0	12.2856
0.508857	1	5	0	17.9278
0.508857	1	6	0	19.1842
0.509929	1	1	0	5.13456
0.509929	1	2	0	17.798
0.509929	1	3	0	22.8353
0.509929	1	4	0	12.3304
0.509929	1	5	0	17.9459
0.509929	1	6	0	19.2466
0.510929	1	1	0	6.19048
0.510929	1	2	0	17.8909
0.510929	1	3	0	22.5474
0.510929	1	4	0	12.8343
0.510929	1	5	0	17.3287
0.510929	1	6	0	20.0797
0.511929	1	3	0	22.4449
0.511929	1	4	0	16.1715
0.512929	1	1	0	7.03828
0.512929	1	2	0	17.9315
0.512929	1	3	0	22.4082
0.512929	1	4	0	14.2306
0.513929	1	3	0	22.4449
0.513929	1	4	0	16.1715
0.514929	1	1	0	7.03828
0.514929	1	2	0	17.9315
0.514929	1	3	0	22.4082
0.514929	1	4	0	14.2306
0.515929	1	3	0	22.4449
0.515929	1	4	0	16.1715
0.516929	1	1	0	6.98982
0.516929	1	2	0	17.813
0.516929	1	3	0	22.4046
0.516929	1	4	0	14.4865
0.517929	1	3	0	22.4443
0.517929	1	4	0	16.2727
0.518929	1	1	0	6.91509
0.518929	1	2	0	17.9554
0.518929	1	3	0	22.41
0.518929	1	4	0	15.0188
0.519929	1	3	0	22.4443
0.519929	1	4	0	16.2727
0.520929	1	1	0	6.91509
0.520929	1	2	0	17.9554
0.520929	1	3	0	22.41
0.520929	1	4	0	15.0188
0.521929	1	3	0	22.4443
0.521929	1	4	0	16.2727
0.522929	1	1	0	6.91509
0.522929	1	2	0	17.9554
