% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.013	1	5	102	4	5	28	2196	0	0	0
1.015	1	1	102	6	1	28	2196	0	0	0
1.016	1	3	102	7	2	28	2196	0	0	0
1.017	1	6	102	8	3	28	2196	0	0	0
1.018	1	4	102	9	4	28	2196	0	0	0
1.019	1	2	102	10	6	28	2196	0	0	0
1.02	1	3	103	1	2	28	2196	0	0	0
1.021	1	4	103	2	4	28	2196	0	0	0
1.022	1	2	103	3	6	28	2196	0	0	0
1.023	1	1	103	4	1	28	2196	0	0	0
1.024	1	3	103	5	2	28	2196	0	0	0
1.025	1	4	103	6	4	28	2196	0	0	0
1.026	1	3	103	7	2	28	2196	0	0	0
1.027	1	4	103	8	4	28	2196	0	0	0
1.028	1	2	103	9	6	28	2196	0	0	0
1.029	1	3	103	10	2	28	2196	0	0	0
1.03	1	4	104	1	4	28	2196	0	0	0
1.031	1	3	104	2	2	28	2196	0	0	0
1.032	1	3	104	3	2	28	2196	0	0	0
1.033	1	1	104	4	1	28	2196	0	0	0
1.034	1	4	104	5	4	28	2196	0	0	0
1.035	1	4	104	6	4	28	2196	0	0	0
1.036	1	2	104	7	6	28	2196	0	0	0
1.037	1	3	104	8	2	28	2196	0	0	0
1.038	1	4	104	9	4	28	2196	0	0	0
1.039	1	3	104	10	2	28	2196	0	0	0
1.04	1	4	105	1	4	28	2196	0	0	0
1.041	1	3	105	2	2	28	2196	0	0	0
1.042	1	4	105	3	4	28	2196	0	0	0
1.043	1	1	105	4	1	28	2196	0	0	0
1.044	1	3	105	5	2	28	2196	0	0	0
1.045	1	4	105	6	4	28	2196	0	0	0
1.046	1	4	105	7	4	28	2196	0	0	0
1.047	1	4	105	8	4	28	2196	0	0	0
1.048	1	4	105	9	4	28	2196	0	0	0
1.049	1	4	105	10	4	28	2196	0	0	0
1.05	1	4	106	1	4	28	2196	0	0	0
1.051	1	4	106	2	4	28	2196	0	0	0
1.052	1	4	106	3	4	28	2196	0	0	0
1.053	1	2	106	4	6	28	2196	0	0	0
1.054	1	1	106	5	1	28	2196	0	0	0
1.055	1	3	106	6	2	28	2196	0	0	0
1.056	1	3	106	7	2	28	2196	0	0	0
1.057	1	3	106	8	2	28	2196	0	0	0
1.058	1	2	106	9	6	28	2196	0	0	0
1.059	1	3	106	10	2	28	2196	0	0	0
1.06	1	3	107	1	2	28	2196	0	0	0
1.061	1	3	107	2	2	28	2196	0	0	0
1.062	1	3	107	3	2	28	2196	0	0	0
1.063	1	1	107	4	1	28	2196	0	0	0
1.064	1	4	107	5	4	28	2196	0	0	0
1.065	1	3	107	6	2	28	2196	0	0	0
1.066	1	2	107	7	6	28	2196	0	0	0
1.067	1	4	107	8	4	28	2196	0	0	0
1.068	1	3	107	9	2	28	2196	0	0	0
1.069	1	4	107	10	4	28	2196	0	0	0
1.071	1	4	108	2	4	28	2196	0	0	0
1.072	1	3	108	3	2	28	2196	0	0	0
1.073	1	1	108	4	1	28	2196	0	0	0
1.074	1	3	108	5	2	28	2196	0	0	0
1.075	1	4	108	6	4	28	2196	0	0	0
1.076	1	4	108	7	4	28	2196	0	0	0
1.077	1	3	108	8	2	28	2196	0	0	0
1.078	1	4	108	9	4	28	2196	0	0	0
1.079	1	2	108	10	6	28	2196	0	0	0
1.08	1	3	109	1	2	28	2196	0	0	0
1.081	1	3	109	2	2	28	2196	0	0	0
1.082	1	4	109	3	4	28	2196	0	0	0
1.083	1	1	109	4	1	28	2196	0	0	0
1.084	1	3	109	5	2	28	2196	0	0	0
1.085	1	4	109	6	4	28	2196	0	0	0
1.086	1	2	109	7	6	28	2196	0	0	0
1.087	1	3	109	8	2	28	2196	0	0	0
1.088	1	3	109	9	2	28	2196	0	0	0
1.089	1	3	109	10	2	28	2196	0	0	0
1.09	1	3	110	1	2	28	2196	0	0	0
1.091	1	3	110	2	2	28	2196	0	0	0
1.092	1	4	110	3	4	28	2196	0	0	0
1.093	1	1	110	4	1	28	2196	0	0	0
1.094	1	4	110	5	4	28	2196	0	0	0
1.095	1	3	110	6	2	28	2196	0	0	0
1.1	1	4	111	1	4	28	2196	0	0	0
1.102	1	4	111	3	4	28	2196	0	0	0
1.103	1	1	111	4	1	28	2196	0	0	0
1.104	1	2	111	5	6	28	2196	0	0	0
1.105	1	4	111	6	4	28	2196	0	0	0
1.106	1	3	111	7	2	28	2196	0	0	0
1.107	1	4	111	8	4	28	2196	0	0	0
1.108	1	3	111	9	2	28	2196	0	0	0
1.109	1	3	111	10	2	28	2196	0	0	0
1.11	1	4	112	1	4	28	2196	0	0	0
1.112	1	2	112	3	6	28	2196	0	0	0
1.113	1	1	112	4	1	28	2196	0	0	0
1.114	1	4	112	5	4	28	2196	0	0	0
