% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.000214285	1	1	0	5.19684e-10	1.09559e+06	0
0.000214285	1	2	0	4.06954e-10	857934	0
0.000214285	1	3	0	2.46525e-10	519721	0
0.000214285	1	4	0	1.48775e-10	313646	0
0.000214285	1	5	0	9.56684e-11	201687	0
0.000214285	1	6	0	6.55735e-11	138241	0
0.00121428	1	6	0	6.55659e-11	138225	0
0.00121428	1	1	0	5.19684e-10	1.09559e+06	0
0.00121428	1	2	0	4.06895e-10	857810	0
0.00121428	1	3	0	2.46482e-10	519630	0
0.00121428	1	4	0	1.48752e-10	313596	0
0.00121428	1	5	0	9.56554e-11	201659	0
0.00221428	1	6	0	6.55582e-11	138209	0
0.00221428	1	1	0	5.19683e-10	1.09559e+06	0
0.00221428	1	2	0	4.06836e-10	857686	0
0.00221428	1	3	0	2.46439e-10	519539	0
0.00221428	1	4	0	1.48728e-10	313547	0
0.00221428	1	5	0	9.56424e-11	201632	0
0.00321428	1	6	0	6.55506e-11	138193	0
0.00321428	1	1	0	5.19683e-10	1.09559e+06	0
0.00321428	1	2	0	4.06777e-10	857562	0
0.00321428	1	3	0	2.46396e-10	519448	0
0.00321428	1	4	0	1.48705e-10	313497	0
0.00321428	1	5	0	9.56294e-11	201604	0
0.00421428	1	6	0	6.55429e-11	138177	0
0.00421428	1	1	0	5.19683e-10	1.09559e+06	0
0.00421428	1	2	0	4.06719e-10	857438	0
0.00421428	1	3	0	2.46353e-10	519357	0
0.00421428	1	4	0	1.48681e-10	313447	0
0.00421428	1	5	0	9.56164e-11	201577	0
0.00521428	1	6	0	6.55353e-11	138161	0
0.00521428	1	1	0	5.19683e-10	1.09559e+06	0
0.00521428	1	2	0	4.0666e-10	857314	0
0.00521428	1	3	0	2.46309e-10	519266	0
0.00521428	1	4	0	1.48657e-10	313397	0
0.00521428	1	5	0	9.56034e-11	201550	0
0.00621428	1	6	0	6.55277e-11	138144	0
0.00621428	1	1	0	5.19683e-10	1.09559e+06	0
0.00621428	1	2	0	4.06601e-10	857190	0
0.00621428	1	3	0	2.46266e-10	519175	0
0.00621428	1	4	0	1.48634e-10	313348	0
0.00621428	1	5	0	9.55904e-11	201522	0
0.00721428	1	6	0	6.552e-11	138128	0
0.00721428	1	1	0	5.19683e-10	1.09559e+06	0
0.00721428	1	2	0	4.06542e-10	857066	0
0.00721428	1	3	0	2.46223e-10	519084	0
0.00721428	1	4	0	1.4861e-10	313298	0
0.00721428	1	5	0	9.55774e-11	201495	0
0.00821428	1	6	0	6.55124e-11	138112	0
0.00821428	1	1	0	5.19683e-10	1.09559e+06	0
0.00821428	1	2	0	4.06483e-10	856942	0
0.00821428	1	3	0	2.4618e-10	518993	0
0.00821428	1	4	0	1.48587e-10	313248	0
0.00821428	1	5	0	9.55644e-11	201467	0
0.00921428	1	6	0	6.55048e-11	138096	0
0.00921428	1	1	0	5.19682e-10	1.09559e+06	0
0.00921428	1	2	0	4.06424e-10	856817	0
0.00921428	1	3	0	2.46137e-10	518902	0
0.00921428	1	4	0	1.48563e-10	313199	0
0.00921428	1	5	0	9.55514e-11	201440	0
0.0102143	1	6	0	6.54972e-11	138080	0
0.0102143	1	1	0	5.19682e-10	1.09559e+06	0
0.0102143	1	2	0	4.06365e-10	856693	0
0.0102143	1	3	0	2.46094e-10	518811	0
0.0102143	1	4	0	1.4854e-10	313149	0
0.0102143	1	5	0	9.55384e-11	201413	0
0.0112143	1	1	0	5.19682e-10	1.09559e+06	0
0.0112143	1	2	0	4.06306e-10	856569	0
0.0112143	1	3	0	2.46051e-10	518720	0
0.0112143	1	4	0	1.48516e-10	313099	0
0.0112143	1	5	0	9.55255e-11	201385	0
0.0112143	1	6	0	6.54895e-11	138064	0
0.0122143	1	1	0	5.19681e-10	1.09558e+06	0
0.0122143	1	2	0	4.06248e-10	856445	0
0.0122143	1	3	0	2.46008e-10	518629	0
0.0122143	1	4	0	1.48493e-10	313050	0
0.0122143	1	5	0	9.55125e-11	201358	0
