% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
1015	1	5	5	0	0	28	2196	0	1	1	0
1017	1	1	1	0	0	28	2196	0	1	1	0
1018	1	3	2	0	0	28	2196	0	1	1	0
1019	1	6	3	0	0	28	2196	0	1	1	0
1020	1	4	4	0	0	28	2196	0	1	1	0
1021	1	2	6	0	0	28	2196	0	1	1	0
1022	1	3	2	0	0	28	2196	0	1	1	0
1023	1	4	4	0	0	28	2196	0	1	1	0
1024	1	2	6	0	0	28	2196	0	1	1	0
1025	1	1	1	0	0	28	2196	0	1	1	0
1026	1	3	2	0	0	28	2196	0	1	1	0
1027	1	4	4	0	0	28	2196	0	1	1	0
1028	1	3	2	0	0	28	2196	0	1	1	0
1029	1	4	4	0	0	28	2196	0	1	1	0
1030	1	2	6	0	0	28	2196	0	1	1	0
1031	1	3	2	0	0	28	2196	0	1	1	0
1032	1	4	4	0	0	28	2196	0	1	1	0
1033	1	3	2	0	0	28	2196	0	1	1	0
1034	1	3	2	0	0	28	2196	0	1	1	0
1035	1	1	1	0	0	28	2196	0	1	1	0
1036	1	4	4	0	0	28	2196	0	1	1	0
1037	1	4	4	0	0	28	2196	0	1	1	0
1038	1	2	6	0	0	28	2196	0	1	1	0
1039	1	3	2	0	0	28	2196	0	1	1	0
1040	1	4	4	0	0	28	2196	0	1	1	0
1041	1	3	2	0	0	28	2196	0	1	1	0
1042	1	4	4	0	0	28	2196	0	1	1	0
1043	1	3	2	0	0	28	2196	0	1	1	0
1044	1	4	4	0	0	28	2196	0	1	1	0
1045	1	1	1	0	0	28	2196	0	1	1	0
1046	1	3	2	0	0	28	2196	0	1	1	0
1047	1	4	4	0	0	28	2196	0	1	1	0
1048	1	4	4	0	0	28	2196	0	1	1	0
1049	1	4	4	0	0	28	2196	0	1	1	0
1050	1	4	4	0	0	28	2196	0	1	1	0
1051	1	4	4	0	0	28	2196	0	1	1	0
1052	1	4	4	0	0	28	2196	0	1	1	0
1053	1	4	4	0	0	28	2196	0	1	1	0
1054	1	4	4	0	0	28	2196	0	1	1	0
1055	1	2	6	0	0	28	2196	0	1	1	0
1056	1	1	1	0	0	28	2196	0	1	1	0
1057	1	3	2	0	0	28	2196	0	1	1	0
1058	1	3	2	0	0	28	2196	0	1	1	0
1059	1	3	2	0	0	28	2196	0	1	1	0
1060	1	2	6	0	0	28	2196	0	1	1	0
1061	1	3	2	0	0	28	2196	0	1	1	0
1062	1	3	2	0	0	28	2196	0	1	1	0
1063	1	3	2	0	0	28	2196	0	1	1	0
1064	1	3	2	0	0	28	2196	0	1	1	0
1065	1	1	1	0	0	28	2196	0	1	1	0
1066	1	4	4	0	0	28	2196	0	1	1	0
1067	1	3	2	0	0	28	2196	0	1	1	0
1068	1	2	6	0	0	28	2196	0	1	1	0
1069	1	4	4	0	0	28	2196	0	1	1	0
1070	1	3	2	0	0	28	2196	0	1	1	0
1071	1	4	4	0	0	28	2196	0	1	1	0
1073	1	4	4	0	0	28	2196	0	1	1	0
1074	1	3	2	0	0	28	2196	0	1	1	0
1075	1	1	1	0	0	28	2196	0	1	1	0
1076	1	3	2	0	0	28	2196	0	1	1	0
1077	1	4	4	0	0	28	2196	0	1	1	0
1078	1	4	4	0	0	28	2196	0	1	1	0
1079	1	3	2	0	0	28	2196	0	1	1	0
1080	1	4	4	0	0	28	2196	0	1	1	0
1081	1	2	6	0	0	28	2196	0	1	1	0
1082	1	3	2	0	0	28	2196	0	1	1	0
1083	1	3	2	0	0	28	2196	0	1	1	0
1084	1	4	4	0	0	28	2196	0	1	1	0
1085	1	1	1	0	0	28	2196	0	1	1	0
1086	1	3	2	0	0	28	2196	0	1	1	0
1087	1	4	4	0	0	28	2196	0	1	1	0
1088	1	2	6	0	0	28	2196	0	1	1	0
1089	1	3	2	0	0	28	2196	0	1	1	0
1090	1	3	2	0	0	28	2196	0	1	1	0
1091	1	3	2	0	0	28	2196	0	1	1	0
1092	1	3	2	0	0	28	2196	0	1	1	0
1093	1	3	2	0	0	28	2196	0	1	1	0
1094	1	4	4	0	0	28	2196	0	1	1	0
1095	1	1	1	0	0	28	2196	0	1	1	0
1096	1	4	4	0	0	28	2196	0	1	1	0
1097	1	3	2	0	0	28	2196	0	1	1	0
1102	1	4	4	0	0	28	2196	0	1	1	0
1104	1	4	4	0	0	28	2196	0	1	1	0
1105	1	1	1	0	0	28	2196	0	1	1	0
1106	1	2	6	0	0	28	2196	0	1	1	0
1107	1	4	4	0	0	28	2196	0	1	1	0
1108	1	3	2	0	0	28	2196	0	1	1	0
1109	1	4	4	0	0	28	2196	0	1	1	0
1110	1	3	2	0	0	28	2196	0	1	1	0
1111	1	3	2	0	0	28	2196	0	1	1	0
1112	1	4	4	0	0	28	2196	0	1	1	0
1114	1	2	6	0	0	28	2196	0	1	1	0
1115	1	1	1	0	0	28	2196	0	1	1	0
1116	1	4	4	0	0	28	2196	0	1	1	0
1117	1	4	4	0	0	28	2196	0	1	1	0
1118	1	3	2	0	0	28	2196	0	1	1	0
1119	1	4	4	0	0	28	2196	0	1	1	0
1120	1	3	2	0	0	28	2196	0	1	1	0
1121	1	2	6	0	0	28	2196	0	1	1	0
1122	1	3	2	0	0	28	2196	0	1	1	0
1123	1	3	2	0	0	28	2196	0	1	1	0
1124	1	4	4	0	0	28	2196	0	1	1	0
1125	1	1	1	0	0	28	2196	0	1	1	0
1126	1	4	4	0	0	28	2196	0	1	1	0
