% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.502	1	0	0	6	50	4	0	1	12	15	1	0	0	84
0.502	1	0	0	5	50	4	0	1	12	15	1	0	0	84
0.502	1	0	0	4	50	4	0	1	12	15	1	0	0	134
0.502	1	0	0	3	50	4	0	1	12	15	1	0	0	134
0.502	1	0	0	2	50	4	0	1	12	15	1	0	0	229
0.502	1	0	0	1	50	4	0	1	12	15	1	0	0	229
0.503	1	0	0	6	50	5	0	1	12	14	1	0	0	10
0.503	1	0	0	5	50	5	0	1	12	14	1	0	0	10
0.503	1	0	0	4	50	5	0	1	12	14	1	0	0	136
0.503	1	0	0	3	50	5	0	1	12	14	1	0	0	136
0.503	1	0	0	2	50	5	0	1	12	14	1	0	0	300
0.503	1	0	0	1	50	5	0	1	12	14	1	0	0	300
0.504	1	0	0	6	50	6	0	1	12	13	1	0	0	10
0.504	1	0	0	5	50	6	0	1	12	13	1	0	0	10
0.504	1	0	0	4	50	6	0	1	12	13	1	0	0	136
0.504	1	0	0	3	50	6	0	1	12	13	1	0	0	136
0.504	1	0	0	2	50	6	0	1	12	13	1	0	0	300
0.504	1	0	0	1	50	6	0	1	12	13	1	0	0	300
0.505	1	0	0	6	50	7	0	1	11	12	1	0	0	11
0.505	1	0	0	5	50	7	0	1	11	12	1	0	0	11
0.505	1	0	0	4	50	7	0	1	11	12	1	0	0	137
0.505	1	0	0	3	50	7	0	1	11	12	1	0	0	137
0.505	1	0	0	2	50	7	0	1	11	12	1	0	0	260
0.505	1	0	0	1	50	7	0	1	11	12	1	0	0	260
0.506	1	0	0	6	50	8	0	1	11	11	1	0	0	11
0.506	1	0	0	5	50	8	0	1	11	11	1	0	0	11
0.506	1	0	0	4	50	8	0	1	11	11	1	0	0	137
0.506	1	0	0	3	50	8	0	1	11	11	1	0	0	137
0.506	1	0	0	2	50	8	0	1	11	11	1	0	0	260
0.506	1	0	0	1	50	8	0	1	11	11	1	0	0	260
0.507	1	0	0	6	50	9	0	1	12	15	1	0	0	10
0.507	1	0	0	5	50	9	0	1	12	15	1	0	0	10
0.507	1	0	0	4	50	9	0	1	12	15	1	0	0	139
0.507	1	0	0	3	50	9	0	1	12	15	1	0	0	139
0.507	1	0	0	2	50	9	0	1	12	15	1	0	0	297
0.507	1	0	0	1	50	9	0	1	12	15	1	0	0	297
0.508	1	0	0	6	51	0	0	1	12	14	1	0	26	81
0.508	1	0	0	5	51	0	0	1	12	14	1	0	24	71
0.508	1	0	0	4	51	0	0	1	12	14	1	0	18	175
0.508	1	0	0	3	51	0	0	1	12	14	1	0	28	179
0.508	1	0	0	2	51	0	0	1	12	14	1	0	24	4143
0.508	1	0	0	1	51	0	0	1	12	14	1	0	12	4136
0.509	1	0	0	4	51	1	0	1	12	13	1	0	18	175
0.509	1	0	0	3	51	1	0	1	12	13	1	0	28	179
0.51	1	0	0	4	51	2	0	1	12	12	1	0	18	175
0.51	1	0	0	3	51	2	0	1	12	12	1	0	28	179
0.51	1	0	0	2	51	2	0	1	12	13	1	0	24	1482
0.51	1	0	0	1	51	2	0	1	12	13	1	0	12	1437
0.511	1	0	0	4	51	3	0	1	12	11	1	0	18	175
0.511	1	0	0	3	51	3	0	1	12	11	1	0	28	179
0.512	1	0	0	4	51	4	0	1	12	15	1	0	18	175
0.512	1	0	0	3	51	4	0	1	12	15	1	0	28	179
0.512	1	0	0	2	51	4	0	1	12	15	1	0	24	1482
0.512	1	0	0	1	51	4	0	1	12	15	1	0	12	1437
0.513	1	0	0	4	51	5	0	1	12	14	1	0	18	175
0.513	1	0	0	3	51	5	0	1	12	14	1	0	28	179
0.514	1	0	0	4	51	6	0	1	12	13	1	0	20	160
0.514	1	0	0	3	51	6	0	1	12	13	1	0	28	179
0.514	1	0	0	2	51	6	0	1	12	14	1	0	26	1511
0.514	1	0	0	1	51	6	0	1	12	14	1	0	14	1454
0.515	1	0	0	4	51	7	0	1	12	12	1	0	28	179
0.515	1	0	0	3	51	7	0	1	12	12	1	0	28	179
0.516	1	0	0	4	51	8	0	1	12	11	1	0	26	165
0.516	1	0	0	3	51	8	0	1	12	11	1	0	28	179
0.516	1	0	0	2	51	8	0	1	12	13	1	0	28	1454
0.516	1	0	0	1	51	8	0	1	12	13	1	0	20	1467
0.517	1	0	0	4	51	9	0	1	12	15	1	0	28	179
0.517	1	0	0	3	51	9	0	1	12	15	1	0	28	179
0.518	1	0	0	4	52	0	0	1	12	14	1	0	26	165
0.518	1	0	0	3	52	0	0	1	12	14	1	0	28	179
0.518	1	0	0	2	52	0	0	1	12	15	1	0	28	1454
0.518	1	0	0	1	52	0	0	1	12	15	1	0	20	1467
0.519	1	0	0	4	52	1	0	1	12	13	1	0	28	179
0.519	1	0	0	3	52	1	0	1	12	13	1	0	28	179
0.52	1	0	0	4	52	2	0	1	12	12	1	0	28	179
0.52	1	0	0	3	52	2	0	1	12	12	1	0	28	179
0.52	1	0	0	2	52	2	0	1	12	14	1	0	28	1454
0.52	1	0	0	1	52	2	0	1	12	14	1	0	20	1467
0.521	1	0	0	4	52	3	0	1	12	11	1	0	28	179
0.521	1	0	0	3	52	3	0	1	12	11	1	0	28	179
0.522	1	0	0	4	52	4	0	1	12	15	1	0	28	179
0.522	1	0	0	3	52	4	0	1	12	15	1	0	28	179
0.522	1	0	0	2	52	4	0	1	12	13	1	0	28	1454
0.522	1	0	0	1	52	4	0	1	12	13	1	0	22	1477
0.523	1	0	0	4	52	5	0	1	12	14	1	0	28	179
0.523	1	0	0	3	52	5	0	1	12	14	1	0	28	179
0.524	1	0	0	4	52	6	0	1	12	13	1	0	28	179
0.524	1	0	0	3	52	6	0	1	12	13	1	0	28	179
0.524	1	0	0	2	52	6	0	1	12	15	1	0	28	1454
0.524	1	0	0	1	52	6	0	1	12	15	1	0	22	1477
0.525	1	0	0	4	52	7	0	1	12	12	1	0	28	179
0.525	1	0	0	3	52	7	0	1	12	12	1	0	28	179
0.526	1	0	0	4	52	8	0	1	12	11	1	0	28	179
0.526	1	0	0	3	52	8	0	1	12	11	1	0	28	179
0.526	1	0	0	2	52	8	0	1	12	14	1	0	28	1454
0.526	1	0	0	1	52	8	0	1	12	14	1	0	22	1477
0.527	1	0	0	4	52	9	0	1	12	15	1	0	28	179
0.527	1	0	0	3	52	9	0	1	12	15	1	0	28	179
0.528	1	0	0	4	53	0	0	1	12	14	1	0	28	179
0.528	1	0	0	3	53	0	0	1	12	14	1	0	28	179
0.528	1	0	0	2	53	0	0	1	12	13	1	0	28	1454
0.528	1	0	0	1	53	0	0	1	12	13	1	0	22	1477
0.529	1	0	0	4	53	1	0	1	12	13	1	0	28	179
0.529	1	0	0	3	53	1	0	1	12	13	1	0	28	179
0.53	1	0	0	4	53	2	0	1	12	12	1	0	28	179
0.53	1	0	0	3	53	2	0	1	12	12	1	0	28	179
0.53	1	0	0	2	53	2	0	1	12	15	1	0	28	1454
0.53	1	0	0	1	53	2	0	1	12	15	1	0	22	1477
0.531	1	0	0	4	53	3	0	1	12	11	1	0	28	179
0.531	1	0	0	3	53	3	0	1	12	11	1	0	28	179
0.532	1	0	0	4	53	4	0	1	12	15	1	0	28	179
0.532	1	0	0	3	53	4	0	1	12	15	1	0	28	179
0.532	1	0	0	2	53	4	0	1	12	14	1	0	28	1454
0.532	1	0	0	1	53	4	0	1	12	14	1	0	22	1477
0.533	1	0	0	4	53	5	0	1	12	14	1	0	28	179
0.533	1	0	0	3	53	5	0	1	12	14	1	0	28	179
0.534	1	0	0	4	53	6	0	1	12	13	1	0	28	179
0.534	1	0	0	3	53	6	0	1	12	13	1	0	28	179
0.534	1	0	0	2	53	6	0	1	12	13	1	0	28	1454
0.534	1	0	0	1	53	6	0	1	12	13	1	0	22	1477
