time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.506029	1	3	3	130	0.00502479
0.506029	1	4	3	130	0.00502465
0.506029	1	5	3	80	0.00502455
0.506029	1	6	3	80	0.00502446
0.507029	1	3	3	130	0.00502828
0.507029	1	4	3	130	0.00502815
0.507957	1	3	3	130	0.00495336
0.507957	1	4	3	130	0.00495322
0.508957	1	3	3	130	0.00495685
0.508957	1	4	3	130	0.00495672
0.510029	1	1	3	1430	0.0090261
0.510029	1	2	3	1430	0.00902492
0.510029	1	3	3	130	0.00502479
0.510029	1	4	3	130	0.00502465
0.511029	1	1	3	1430	0.0080261
0.511029	1	1	3	1430	0.0060261
0.511029	1	1	3	1430	0.0040261
0.511029	1	2	3	1430	0.00802492
0.511029	1	2	3	1430	0.00602492
0.511029	1	2	3	1430	0.00402492
0.511029	1	3	3	130	0.00502828
0.511029	1	3	3	130	0.00402479
0.511029	1	4	3	130	0.00502815
0.511029	1	4	3	130	0.00402465
0.512029	1	3	3	130	0.00402828
0.512029	1	4	3	130	0.00402815
0.513029	1	1	3	1430	0.0040261
0.513029	1	2	3	1430	0.00402492
0.513029	1	3	3	130	0.00402479
0.513029	1	4	3	130	0.00402465
0.514029	1	3	3	130	0.00402828
0.514029	1	4	3	130	0.00402815
0.515029	1	1	3	1430	0.0040261
0.515029	1	2	3	1430	0.00402492
0.515029	1	3	3	130	0.00402479
0.515029	1	4	3	130	0.00402465
0.516029	1	3	3	130	0.00402828
0.516029	1	4	3	130	0.00402815
0.517029	1	1	3	1430	0.0040261
0.517029	1	2	3	1430	0.00402492
0.517029	1	3	3	130	0.00402479
0.517029	1	4	3	130	0.00402465
0.518029	1	3	3	130	0.00402828
0.518029	1	4	3	130	0.00402815
0.519029	1	1	3	1430	0.0040261
0.519029	1	2	3	1430	0.00402492
0.519029	1	3	3	130	0.00402479
0.519029	1	4	3	130	0.00402465
0.520029	1	3	3	130	0.00402828
0.520029	1	4	3	130	0.00402815
0.521029	1	1	3	1430	0.0040261
0.521029	1	2	3	1430	0.00402492
0.521029	1	3	3	130	0.00402479
0.521029	1	4	3	130	0.00402465
0.522029	1	3	3	130	0.00402828
0.522029	1	4	3	130	0.00402815
0.523029	1	1	3	1430	0.0040261
0.523029	1	2	3	1430	0.00402492
0.523029	1	3	3	130	0.00402479
