time(s)	cellId	rnti	lcid	packetSize
0.501002	1	1	3	1430
0.501004	1	2	3	1430
0.501004	1	3	3	130
0.501004	1	4	3	130
0.501004	1	5	3	80
0.501004	1	6	3	80
0.502	1	3	3	130
0.502	1	4	3	130
0.503002	1	1	3	1430
0.503004	1	2	3	1430
0.503004	1	3	3	130
0.503004	1	4	3	130
0.504	1	3	3	130
0.504	1	4	3	130
0.505002	1	1	3	1430
0.505004	1	2	3	1430
0.505004	1	3	3	130
0.505004	1	4	3	130
0.506	1	3	3	130
0.506	1	4	3	130
0.507002	1	1	3	1430
0.507004	1	2	3	1430
0.507004	1	3	3	130
0.507004	1	4	3	130
0.508	1	3	3	130
0.508	1	4	3	130
0.509002	1	1	3	1430
0.509004	1	2	3	1430
0.509004	1	3	3	130
0.509004	1	4	3	130
0.51	1	3	3	130
0.51	1	4	3	130
0.511002	1	1	3	1430
0.511004	1	2	3	1430
0.511004	1	3	3	130
0.511004	1	4	3	130
0.512	1	3	3	130
0.512	1	4	3	130
0.513002	1	1	3	1430
0.513004	1	2	3	1430
0.513004	1	3	3	130
0.513004	1	4	3	130
0.514	1	3	3	130
0.514	1	4	3	130
0.515002	1	1	3	1430
0.515004	1	2	3	1430
0.515004	1	3	3	130
0.515004	1	4	3	130
0.516	1	3	3	130
0.516	1	4	3	130
0.517002	1	1	3	1430
0.517004	1	2	3	1430
0.517004	1	3	3	130
0.517004	1	4	3	130
0.518	1	3	3	130
0.518	1	4	3	130
0.519002	1	1	3	1430
0.519004	1	2	3	1430
0.519004	1	3	3	130
0.519004	1	4	3	130
0.52	1	3	3	130
0.52	1	4	3	130
0.521002	1	1	3	1430
0.521004	1	2	3	1430
0.521004	1	3	3	130
0.521004	1	4	3	130
0.522	1	3	3	130
0.522	1	4	3	130
0.523002	1	1	3	1430
0.523004	1	2	3	1430
0.523004	1	3	3	130
0.523004	1	4	3	130
0.524	1	3	3	130
0.524	1	4	3	130
0.525002	1	1	3	1430
0.525004	1	2	3	1430
0.525004	1	3	3	130
0.525004	1	4	3	130
0.526	1	3	3	130
0.526	1	4	3	130
0.527002	1	1	3	1430
0.527004	1	2	3	1430
0.527004	1	3	3	130
0.527004	1	4	3	130
0.528	1	3	3	130
0.528	1	4	3	130
0.529002	1	1	3	1430
0.529004	1	2	3	1430
0.529004	1	3	3	130
0.529004	1	4	3	130
0.53	1	3	3	130
0.53	1	4	3	130
0.531002	1	1	3	1430
0.531004	1	2	3	1430
0.531004	1	3	3	130
0.531004	1	4	3	130
0.532	1	3	3	130
0.532	1	4	3	130
0.533002	1	1	3	1430
0.533004	1	2	3	1430
0.533004	1	3	3	130
0.533004	1	4	3	130
0.534	1	3	3	130
0.534	1	4	3	130
0.535002	1	1	3	1430
0.535004	1	2	3	1430
0.535004	1	3	3	130
0.535004	1	4	3	130
0.536	1	3	3	130
0.536	1	4	3	130
0.537002	1	1	3	1430
0.537004	1	2	3	1430
0.537004	1	3	3	130
0.537004	1	4	3	130
0.538	1	3	3	130
0.538	1	4	3	130
0.539002	1	1	3	1430
0.539004	1	2	3	1430
0.539004	1	3	3	130
0.539004	1	4	3	130
0.54	1	3	3	130
0.54	1	4	3	130
0.541002	1	1	3	1430
0.541004	1	2	3	1430
0.541004	1	3	3	130
0.541004	1	4	3	130
0.542	1	3	3	130
0.542	1	4	3	130
0.543002	1	1	3	1430
0.543004	1	2	3	1430
0.543004	1	3	3	130
0.543004	1	4	3	130
0.544	1	3	3	130
0.544	1	4	3	130
0.545002	1	1	3	1430
0.545004	1	2	3	1430
0.545004	1	3	3	130
0.545004	1	4	3	130
0.546	1	3	3	130
0.546	1	4	3	130
0.547002	1	1	3	1430
0.547004	1	2	3	1430
0.547004	1	3	3	130
0.547004	1	4	3	130
0.548	1	3	3	130
0.548	1	4	3	130
0.549002	1	1	3	1430
0.549004	1	2	3	1430
0.549004	1	3	3	130
0.549004	1	4	3	130
0.55	1	3	3	130
0.55	1	4	3	130
0.551	1	5	3	80
0.551	1	6	3	80
0.551003	1	1	3	1430
0.551004	1	2	3	1430
0.551004	1	3	3	130
0.551004	1	4	3	130
0.552	1	3	3	130
0.552	1	4	3	130
0.553002	1	1	3	1430
0.553004	1	2	3	1430
0.553004	1	3	3	130
0.553004	1	4	3	130
0.554	1	3	3	130
0.554	1	4	3	130
0.555002	1	1	3	1430
0.555004	1	2	3	1430
0.555004	1	3	3	130
0.555004	1	4	3	130
0.556	1	3	3	130
0.556	1	4	3	130
0.557002	1	1	3	1430
0.557004	1	2	3	1430
0.557004	1	3	3	130
0.557004	1	4	3	130
0.558	1	3	3	130
0.558	1	4	3	130
0.559002	1	1	3	1430
0.559004	1	2	3	1430
0.559004	1	3	3	130
0.559004	1	4	3	130
0.56	1	3	3	130
0.56	1	4	3	130
0.561002	1	1	3	1430
0.561004	1	2	3	1430
0.561004	1	3	3	130
0.561004	1	4	3	130
0.562	1	3	3	130
0.562	1	4	3	130
0.563002	1	1	3	1430
0.563004	1	2	3	1430
0.563004	1	3	3	130
0.563004	1	4	3	130
0.564	1	3	3	130
0.564	1	4	3	130
0.565002	1	1	3	1430
0.565004	1	2	3	1430
0.565004	1	3	3	130
0.565004	1	4	3	130
0.566	1	3	3	130
0.566	1	4	3	130
0.567002	1	1	3	1430
0.567004	1	2	3	1430
0.567004	1	3	3	130
0.567004	1	4	3	130
0.568	1	3	3	130
0.568	1	4	3	130
0.569002	1	1	3	1430
0.569004	1	2	3	1430
0.569004	1	3	3	130
0.569004	1	4	3	130
0.57	1	3	3	130
0.57	1	4	3	130
0.571002	1	1	3	1430
0.571004	1	2	3	1430
0.571004	1	3	3	130
0.571004	1	4	3	130
0.572	1	3	3	130
0.572	1	4	3	130
0.573002	1	1	3	1430
0.573004	1	2	3	1430
0.573004	1	3	3	130
0.573004	1	4	3	130
0.574	1	3	3	130
0.574	1	4	3	130
0.575002	1	1	3	1430
