time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.505029	1	1	3	226	0.00302856
0.505029	1	2	3	226	0.00302856
0.505029	1	3	3	131	0.00302856
0.505029	1	4	3	131	0.00302856
0.505029	1	5	3	81	0.00302856
0.505029	1	6	3	81	0.00302856
0.506029	1	1	3	297	0.00302856
0.506029	1	2	3	297	0.00302856
0.506029	1	3	3	133	0.00302856
0.506029	1	4	3	133	0.00302856
0.506029	1	5	3	3	0.00302856
0.506029	1	6	3	3	0.00302856
0.507029	1	1	3	297	0.00302856
0.507029	1	2	3	297	0.00302856
0.507029	1	3	3	133	0.00302856
0.507029	1	4	3	133	0.00302856
0.507957	1	1	3	257	0.00295714
0.507957	1	2	3	257	0.00295714
0.507957	1	3	3	134	0.00295714
0.507957	1	4	3	134	0.00295714
0.508957	1	1	3	257	0.00295714
0.508957	1	2	3	257	0.00295714
0.508957	1	3	3	134	0.00295714
0.508957	1	4	3	134	0.00295714
0.510029	1	1	3	294	0.00302856
0.510029	1	2	3	294	0.00302856
0.510029	1	3	3	136	0.00302856
0.510029	1	4	3	136	0.00302856
0.511029	1	1	3	4111	0.00302856
0.511029	1	2	3	4111	0.00302856
0.511029	1	3	3	135	0.00302856
0.511029	1	4	3	135	0.00302856
0.512029	1	3	3	132	0.00302856
0.512029	1	4	3	132	0.00302856
0.513029	1	1	3	1432	0.00302856
0.513029	1	2	3	1432	0.00302856
0.513029	1	3	3	132	0.00302856
0.513029	1	4	3	132	0.00302856
0.514029	1	3	3	132	0.00302856
0.514029	1	4	3	132	0.00302856
0.515029	1	1	3	1432	0.00302856
0.515029	1	2	3	1432	0.00302856
0.515029	1	3	3	132	0.00302856
0.515029	1	4	3	132	0.00302856
0.516029	1	3	3	132	0.00302856
0.516029	1	4	3	132	0.00302856
0.517029	1	1	3	1432	0.00302856
0.517029	1	2	3	1432	0.00302856
0.517029	1	3	3	132	0.00302856
0.517029	1	4	3	132	0.00302856
0.518029	1	3	3	132	0.00302856
0.518029	1	4	3	132	0.00302856
0.519029	1	1	3	1432	0.00302856
0.519029	1	2	3	1432	0.00302856
0.519029	1	3	3	132	0.00302856
0.519029	1	4	3	132	0.00302856
