time(s)	cellId	rnti	lcid	packetSize
0.502	1	6	3	81
0.502	1	5	3	81
0.502	1	4	3	131
0.502	1	3	3	131
0.502	1	2	3	226
0.502	1	1	3	226
0.503	1	6	3	3
0.503	1	5	3	3
0.503	1	4	3	133
0.503	1	3	3	133
0.503	1	2	3	297
0.503	1	1	3	297
0.504	1	4	3	133
0.504	1	3	3	133
0.504	1	2	3	297
0.504	1	1	3	297
0.505	1	4	3	134
0.505	1	3	3	134
0.505	1	2	3	257
0.505	1	1	3	257
0.506	1	4	3	134
0.506	1	3	3	134
0.506	1	2	3	257
0.506	1	1	3	257
0.507	1	4	3	136
0.507	1	3	3	136
0.507	1	2	3	294
0.507	1	1	3	294
0.508	1	4	3	135
0.508	1	3	3	135
0.508	1	2	3	4111
0.508	1	1	3	4111
0.509	1	4	3	132
0.509	1	3	3	132
0.51	1	4	3	132
0.51	1	3	3	132
0.51	1	2	3	1432
0.51	1	1	3	1432
0.511	1	4	3	132
0.511	1	3	3	132
0.512	1	4	3	132
0.512	1	3	3	132
0.512	1	2	3	1432
0.512	1	1	3	1432
0.513	1	4	3	132
0.513	1	3	3	132
0.514	1	4	3	132
0.514	1	3	3	132
0.514	1	2	3	1432
0.514	1	1	3	1432
0.515	1	4	3	132
0.515	1	3	3	132
0.516	1	4	3	132
0.516	1	3	3	132
0.516	1	2	3	1432
0.516	1	1	3	1432
0.517	1	4	3	132
0.517	1	3	3	132
0.518	1	4	3	132
0.518	1	3	3	132
0.518	1	2	3	1432
0.518	1	1	3	1432
0.519	1	4	3	132
0.519	1	3	3	132
0.52	1	4	3	132
0.52	1	3	3	132
0.52	1	2	3	1432
0.52	1	1	3	1432
0.521	1	4	3	132
0.521	1	3	3	132
0.522	1	4	3	132
0.522	1	3	3	132
0.522	1	2	3	1432
0.522	1	1	3	1432
0.523	1	4	3	132
0.523	1	3	3	132
0.524	1	4	3	132
0.524	1	3	3	132
0.524	1	2	3	1432
0.524	1	1	3	1432
0.525	1	4	3	132
0.525	1	3	3	132
0.526	1	4	3	132
0.526	1	3	3	132
0.526	1	2	3	1432
0.526	1	1	3	1432
0.527	1	4	3	132
0.527	1	3	3	132
0.528	1	4	3	132
0.528	1	3	3	132
0.528	1	2	3	1432
0.528	1	1	3	1432
0.529	1	4	3	132
0.529	1	3	3	132
0.53	1	4	3	132
0.53	1	3	3	132
0.53	1	2	3	1432
0.53	1	1	3	1432
0.531	1	4	3	132
0.531	1	3	3	132
0.532	1	4	3	132
0.532	1	3	3	132
0.532	1	2	3	1432
0.532	1	1	3	1432
0.533	1	4	3	132
0.533	1	3	3	132
0.534	1	4	3	132
0.534	1	3	3	132
0.534	1	2	3	1432
0.534	1	1	3	1432
0.535	1	4	3	132
0.535	1	3	3	132
0.536	1	4	3	132
0.536	1	3	3	132
0.536	1	2	3	1432
0.536	1	1	3	1432
0.537	1	4	3	132
0.537	1	3	3	132
0.538	1	4	3	132
0.538	1	3	3	132
0.538	1	2	3	1432
0.538	1	1	3	1432
0.539	1	4	3	132
0.539	1	3	3	132
0.54	1	4	3	132
0.54	1	3	3	132
0.54	1	2	3	1432
0.54	1	1	3	1432
0.541	1	4	3	132
0.541	1	3	3	132
0.542	1	4	3	132
0.542	1	3	3	132
0.542	1	2	3	1432
0.542	1	1	3	1432
0.543	1	4	3	132
