Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.504929	DL	50	4	0	1	12	1	0	1	229	0	1	0	2.02067	7	0	0
0.504929	DL	50	4	0	1	12	1	0	2	229	0	1	0	17.8352	13	0	0
0.504929	DL	50	4	0	1	12	1	0	3	134	0	1	0	22.4664	15	0	0
0.504929	DL	50	4	0	1	12	1	0	4	134	0	1	0	13.3274	10	0	0
0.504929	DL	50	4	0	1	12	1	0	5	84	0	1	0	16.5213	13	0	0
0.504929	DL	50	4	0	1	12	1	0	6	84	0	1	0	23.039	14	0	0
0.505929	DL	50	5	0	1	12	1	0	1	300	0	1	0	2.40066	7	0	0
0.505929	DL	50	5	0	1	12	1	0	2	300	0	1	0	17.9401	13	0	0
0.505929	DL	50	5	0	1	12	1	0	3	136	0	1	0	22.3749	15	0	0
0.505929	DL	50	5	0	1	12	1	0	4	136	0	1	0	14.4945	10	0	0
0.505929	DL	50	5	0	1	12	1	0	5	10	0	1	0	16.5387	13	0	0
0.505929	DL	50	5	0	1	12	1	0	6	10	0	1	0	23.3291	14	0	0
0.506929	DL	50	6	0	1	12	1	0	1	300	0	1	0	2.40066	7	0	0
0.506929	DL	50	6	0	1	12	1	0	2	300	0	1	0	17.9401	13	0	0
0.506929	DL	50	6	0	1	12	1	0	3	136	0	1	0	22.3749	15	0	0
0.506929	DL	50	6	0	1	12	1	0	4	136	0	1	0	14.4945	10	0	0
0.507857	DL	50	7	0	1	11	1	0	1	260	0	1	0	2.29233	7	0	0
0.507857	DL	50	7	0	1	11	1	0	2	260	0	1	0	17.957	13	0	0
0.507857	DL	50	7	0	1	11	1	0	3	137	0	1	0	22.3507	15	0	0
0.507857	DL	50	7	0	1	11	1	0	4	137	0	1	0	14.1226	10	0	0
0.508857	DL	50	8	0	1	11	1	0	1	260	0	1	0	2.29233	7	0	0
0.508857	DL	50	8	0	1	11	1	0	2	260	0	1	0	17.957	13	0	0
0.508857	DL	50	8	0	1	11	1	0	3	137	0	1	0	22.3507	15	0	0
0.508857	DL	50	8	0	1	11	1	0	4	137	0	1	0	14.1226	10	0	0
0.509929	DL	50	9	0	1	12	1	0	1	297	0	1	0	2.38502	7	0	0
0.509929	DL	50	9	0	1	12	1	0	2	297	0	1	0	17.9313	13	0	0
0.509929	DL	50	9	0	1	12	1	0	3	139	0	1	0	22.3706	15	0	0
0.509929	DL	50	9	0	1	12	1	0	4	139	0	1	0	14.4446	10	0	0
0.510929	DL	51	0	0	1	12	1	0	1	4136	12	1	0	7.62602	8	0	0
0.510929	DL	51	0	0	1	12	1	0	2	4143	24	1	0	19.4536	14	0	0
0.510929	DL	51	0	0	1	12	1	0	3	179	28	1	0	24.1444	15	0	5.701e-14
0.510929	DL	51	0	0	1	12	1	0	4	175	18	1	0	17.7796	11	0	0
0.511929	DL	51	1	0	1	12	1	0	3	179	28	1	0	40.0553	15	0	5.701e-14
0.511929	DL	51	1	0	1	12	1	0	4	175	18	1	0	33.882	15	0	0
0.512929	DL	51	2	0	1	12	1	0	1	1437	12	1	0	13.2674	11	0	0
0.512929	DL	51	2	0	1	12	1	0	2	1482	24	1	0	23.6266	15	0	0
0.512929	DL	51	2	0	1	12	1	0	3	179	28	1	0	28.5426	15	0	5.701e-14
0.512929	DL	51	2	0	1	12	1	0	4	175	18	1	0	22.3693	14	0	0
0.513929	DL	51	3	0	1	12	1	0	3	179	28	1	0	40.0553	15	0	5.701e-14
0.513929	DL	51	3	0	1	12	1	0	4	175	18	1	0	33.882	15	0	0
0.514929	DL	51	4	0	1	12	1	0	1	1437	12	1	0	13.2674	11	0	0
0.514929	DL	51	4	0	1	12	1	0	2	1482	24	1	0	23.6266	15	0	0
0.514929	DL	51	4	0	1	12	1	0	3	179	28	1	0	28.5426	15	0	5.701e-14
0.514929	DL	51	4	0	1	12	1	0	4	175	18	1	0	22.3693	14	0	0
0.515929	DL	51	5	0	1	12	1	0	3	179	28	1	0	40.0553	15	0	5.701e-14
0.515929	DL	51	5	0	1	12	1	0	4	175	18	1	0	33.882	15	0	0
0.516929	DL	51	6	0	1	12	1	0	1	1454	14	1	0	14.1521	11	0	0
0.516929	DL	51	6	0	1	12	1	0	2	1511	26	1	0	24.5889	15	0	0
0.516929	DL	51	6	0	1	12	1	0	3	179	28	1	0	29.448	15	0	5.701e-14
0.516929	DL	51	6	0	1	12	1	0	4	160	20	1	0	23.3156	15	0	0
0.517929	DL	51	7	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.517929	DL	51	7	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.518929	DL	51	8	0	1	12	1	0	1	1467	20	1	0	15.8065	12	0	0
0.518929	DL	51	8	0	1	12	1	0	2	1454	28	1	0	26.3735	15	0	0
0.518929	DL	51	8	0	1	12	1	0	3	179	28	1	0	31.115	15	0	5.701e-14
0.518929	DL	51	8	0	1	12	1	0	4	165	26	1	0	25.0166	15	0	0
0.519929	DL	51	9	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.519929	DL	51	9	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.520929	DL	52	0	0	1	12	1	0	1	1467	20	1	0	15.8065	12	0	0
0.520929	DL	52	0	0	1	12	1	0	2	1454	28	1	0	26.3735	15	0	0
0.520929	DL	52	0	0	1	12	1	0	3	179	28	1	0	31.115	15	0	5.701e-14
0.520929	DL	52	0	0	1	12	1	0	4	165	26	1	0	25.0166	15	0	0
0.521929	DL	52	1	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.521929	DL	52	1	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.522929	DL	52	2	0	1	12	1	0	1	1467	20	1	0	15.8065	12	0	0
0.522929	DL	52	2	0	1	12	1	0	2	1454	28	1	0	26.3735	15	0	0
0.522929	DL	52	2	0	1	12	1	0	3	179	28	1	0	31.115	15	0	5.701e-14
0.522929	DL	52	2	0	1	12	1	0	4	179	28	1	0	25.0166	15	0	5.701e-14
0.523929	DL	52	3	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.523929	DL	52	3	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.524929	DL	52	4	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.524929	DL	52	4	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.524929	DL	52	4	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.524929	DL	52	4	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.525929	DL	52	5	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.525929	DL	52	5	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.526929	DL	52	6	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.526929	DL	52	6	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.526929	DL	52	6	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.526929	DL	52	6	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.527929	DL	52	7	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.527929	DL	52	7	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.528929	DL	52	8	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.528929	DL	52	8	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.528929	DL	52	8	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.528929	DL	52	8	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.529929	DL	52	9	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.529929	DL	52	9	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.530929	DL	53	0	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.530929	DL	53	0	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.530929	DL	53	0	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.530929	DL	53	0	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
