Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
0.504071	DL DCI Rxed	50	4	0	1	1	0	15	2
0.504071	DL DCI Rxed	50	4	0	1	2	0	15	2
0.504071	DL DCI Rxed	50	4	0	1	3	0	15	2
0.504071	DL DCI Rxed	50	4	0	1	4	0	15	2
0.504071	DL DCI Rxed	50	4	0	1	5	0	15	2
0.504071	DL DCI Rxed	50	4	0	1	6	0	15	2
0.505071	DL DCI Rxed	50	5	0	1	1	0	14	2
0.505071	DL DCI Rxed	50	5	0	1	2	0	14	2
0.505071	DL DCI Rxed	50	5	0	1	3	0	14	2
0.505071	DL DCI Rxed	50	5	0	1	4	0	14	2
0.505071	DL DCI Rxed	50	5	0	1	5	0	14	2
0.505071	DL DCI Rxed	50	5	0	1	6	0	14	2
0.506071	DL DCI Rxed	50	6	0	1	1	0	13	2
0.506071	DL DCI Rxed	50	6	0	1	2	0	13	2
0.506071	DL DCI Rxed	50	6	0	1	3	0	13	2
0.506071	DL DCI Rxed	50	6	0	1	4	0	13	2
0.506071	DL DCI Rxed	50	6	0	1	5	0	13	2
0.506071	DL DCI Rxed	50	6	0	1	6	0	13	2
0.506929	HARQ FD Txed	50	6	0	1	5	0	15	2
0.506929	HARQ FD Txed	50	6	0	1	6	0	15	2
0.506929	HARQ FD Txed	50	6	0	1	1	0	15	2
0.506929	HARQ FD Txed	50	6	0	1	4	0	15	2
0.506929	HARQ FD Txed	50	6	0	1	3	0	15	2
0.506929	HARQ FD Txed	50	6	0	1	2	0	15	2
0.507071	DL DCI Rxed	50	7	0	1	1	0	12	2
0.507071	DL DCI Rxed	50	7	0	1	2	0	12	2
0.507071	DL DCI Rxed	50	7	0	1	3	0	12	2
0.507071	DL DCI Rxed	50	7	0	1	4	0	12	2
0.507071	DL DCI Rxed	50	7	0	1	5	0	12	2
0.507071	DL DCI Rxed	50	7	0	1	6	0	12	2
0.507929	HARQ FD Txed	50	7	0	1	6	0	14	2
0.507929	HARQ FD Txed	50	7	0	1	1	0	14	2
0.507929	HARQ FD Txed	50	7	0	1	4	0	14	2
0.507929	HARQ FD Txed	50	7	0	1	3	0	14	2
0.507929	HARQ FD Txed	50	7	0	1	2	0	14	2
0.507929	HARQ FD Txed	50	7	0	1	5	0	14	2
0.508071	DL DCI Rxed	50	8	0	1	1	0	11	2
0.508071	DL DCI Rxed	50	8	0	1	2	0	11	2
0.508071	DL DCI Rxed	50	8	0	1	3	0	11	2
0.508071	DL DCI Rxed	50	8	0	1	4	0	11	2
0.508071	DL DCI Rxed	50	8	0	1	5	0	11	2
0.508071	DL DCI Rxed	50	8	0	1	6	0	11	2
0.508929	HARQ FD Txed	50	8	0	1	1	0	13	2
0.508929	HARQ FD Txed	50	8	0	1	4	0	13	2
0.508929	HARQ FD Txed	50	8	0	1	3	0	13	2
0.508929	HARQ FD Txed	50	8	0	1	2	0	13	2
0.509071	DL DCI Rxed	50	9	0	1	1	0	15	2
0.509071	DL DCI Rxed	50	9	0	1	2	0	15	2
0.509071	DL DCI Rxed	50	9	0	1	3	0	15	2
0.509071	DL DCI Rxed	50	9	0	1	4	0	15	2
0.509071	DL DCI Rxed	50	9	0	1	5	0	15	2
0.509071	DL DCI Rxed	50	9	0	1	6	0	15	2
0.509929	HARQ FD Txed	50	9	0	1	1	0	12	2
0.509929	HARQ FD Txed	50	9	0	1	4	0	12	2
0.509929	HARQ FD Txed	50	9	0	1	3	0	12	2
0.509929	HARQ FD Txed	50	9	0	1	2	0	12	2
0.510071	DL DCI Rxed	51	0	0	1	1	0	14	2
0.510071	DL DCI Rxed	51	0	0	1	2	0	14	2
0.510071	DL DCI Rxed	51	0	0	1	3	0	14	2
0.510071	DL DCI Rxed	51	0	0	1	4	0	14	2
0.510071	DL DCI Rxed	51	0	0	1	5	0	14	2
0.510071	DL DCI Rxed	51	0	0	1	6	0	14	2
0.510929	HARQ FD Txed	51	0	0	1	1	0	11	2
0.510929	HARQ FD Txed	51	0	0	1	4	0	11	2
0.510929	HARQ FD Txed	51	0	0	1	3	0	11	2
0.510929	HARQ FD Txed	51	0	0	1	2	0	11	2
0.511071	DL DCI Rxed	51	1	0	1	3	0	13	2
0.511071	DL DCI Rxed	51	1	0	1	4	0	13	2
0.511929	HARQ FD Txed	51	1	0	1	1	0	15	2
0.511929	HARQ FD Txed	51	1	0	1	2	0	15	2
0.511929	HARQ FD Txed	51	1	0	1	4	0	15	2
0.511929	HARQ FD Txed	51	1	0	1	3	0	15	2
0.512071	DL DCI Rxed	51	2	0	1	1	0	13	2
0.512071	DL DCI Rxed	51	2	0	1	2	0	13	2
0.512071	DL DCI Rxed	51	2	0	1	3	0	12	2
0.512071	DL DCI Rxed	51	2	0	1	4	0	12	2
0.512929	HARQ FD Txed	51	2	0	1	1	0	14	2
0.512929	HARQ FD Txed	51	2	0	1	2	0	14	2
0.512929	HARQ FD Txed	51	2	0	1	4	0	14	2
0.512929	HARQ FD Txed	51	2	0	1	3	0	14	2
0.513071	DL DCI Rxed	51	3	0	1	3	0	11	2
0.513071	DL DCI Rxed	51	3	0	1	4	0	11	2
0.513929	HARQ FD Txed	51	3	0	1	4	0	13	2
0.513929	HARQ FD Txed	51	3	0	1	3	0	13	2
0.514071	DL DCI Rxed	51	4	0	1	1	0	15	2
0.514071	DL DCI Rxed	51	4	0	1	2	0	15	2
0.514071	DL DCI Rxed	51	4	0	1	3	0	15	2
0.514071	DL DCI Rxed	51	4	0	1	4	0	15	2
0.514929	HARQ FD Txed	51	4	0	1	1	0	13	2
0.514929	HARQ FD Txed	51	4	0	1	2	0	13	2
0.514929	HARQ FD Txed	51	4	0	1	4	0	12	2
0.514929	HARQ FD Txed	51	4	0	1	3	0	12	2
0.515071	DL DCI Rxed	51	5	0	1	3	0	14	2
0.515071	DL DCI Rxed	51	5	0	1	4	0	14	2
0.515929	HARQ FD Txed	51	5	0	1	4	0	11	2
0.515929	HARQ FD Txed	51	5	0	1	3	0	11	2
0.516071	DL DCI Rxed	51	6	0	1	1	0	14	2
0.516071	DL DCI Rxed	51	6	0	1	2	0	14	2
0.516071	DL DCI Rxed	51	6	0	1	3	0	13	2
0.516071	DL DCI Rxed	51	6	0	1	4	0	13	2
0.516929	HARQ FD Txed	51	6	0	1	1	0	15	2
0.516929	HARQ FD Txed	51	6	0	1	2	0	15	2
0.516929	HARQ FD Txed	51	6	0	1	4	0	15	2
0.516929	HARQ FD Txed	51	6	0	1	3	0	15	2
0.517071	DL DCI Rxed	51	7	0	1	3	0	12	2
0.517071	DL DCI Rxed	51	7	0	1	4	0	12	2
0.517929	HARQ FD Txed	51	7	0	1	4	0	14	2
0.517929	HARQ FD Txed	51	7	0	1	3	0	14	2
0.518071	DL DCI Rxed	51	8	0	1	1	0	13	2
0.518071	DL DCI Rxed	51	8	0	1	2	0	13	2
0.518071	DL DCI Rxed	51	8	0	1	3	0	11	2
0.518071	DL DCI Rxed	51	8	0	1	4	0	11	2
0.518929	HARQ FD Txed	51	8	0	1	1	0	14	2
0.518929	HARQ FD Txed	51	8	0	1	2	0	14	2
0.518929	HARQ FD Txed	51	8	0	1	4	0	13	2
