Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0179286	UE  PHY Txed	1	7	0	1	0	0	RACH_PREAMBLE
0.0278571	UE  PHY Txed	2	7	0	1	5	0	SRS
0.0288571	UE  PHY Txed	2	8	0	1	6	0	SRS
0.0578571	UE  PHY Txed	5	7	0	1	1	0	SRS
0.0688571	UE  PHY Txed	6	8	0	1	4	0	SRS
0.0698571	UE  PHY Txed	6	9	0	1	3	0	SRS
0.0988571	UE  PHY Txed	9	8	0	1	2	0	SRS
0.107857	UE  PHY Txed	10	7	0	1	5	0	SRS
0.108857	UE  PHY Txed	10	8	0	1	6	0	SRS
0.137857	UE  PHY Txed	13	7	0	1	1	0	SRS
0.148857	UE  PHY Txed	14	8	0	1	4	0	SRS
0.149857	UE  PHY Txed	14	9	0	1	3	0	SRS
0.178857	UE  PHY Txed	17	8	0	1	2	0	SRS
0.187857	UE  PHY Txed	18	7	0	1	5	0	SRS
0.188857	UE  PHY Txed	18	8	0	1	6	0	SRS
0.217857	UE  PHY Txed	21	7	0	1	1	0	SRS
0.228857	UE  PHY Txed	22	8	0	1	4	0	SRS
0.229857	UE  PHY Txed	22	9	0	1	3	0	SRS
0.258857	UE  PHY Txed	25	8	0	1	2	0	SRS
0.267857	UE  PHY Txed	26	7	0	1	5	0	SRS
0.268857	UE  PHY Txed	26	8	0	1	6	0	SRS
0.297857	UE  PHY Txed	29	7	0	1	1	0	SRS
0.308857	UE  PHY Txed	30	8	0	1	4	0	SRS
0.309857	UE  PHY Txed	30	9	0	1	3	0	SRS
0.338857	UE  PHY Txed	33	8	0	1	2	0	SRS
0.347857	UE  PHY Txed	34	7	0	1	5	0	SRS
0.348857	UE  PHY Txed	34	8	0	1	6	0	SRS
0.377857	UE  PHY Txed	37	7	0	1	1	0	SRS
0.388857	UE  PHY Txed	38	8	0	1	4	0	SRS
0.389857	UE  PHY Txed	38	9	0	1	3	0	SRS
0.418857	UE  PHY Txed	41	8	0	1	2	0	SRS
0.427857	UE  PHY Txed	42	7	0	1	5	0	SRS
0.428857	UE  PHY Txed	42	8	0	1	6	0	SRS
0.457857	UE  PHY Txed	45	7	0	1	1	0	SRS
0.468857	UE  PHY Txed	46	8	0	1	4	0	SRS
0.469857	UE  PHY Txed	46	9	0	1	3	0	SRS
0.498857	UE  PHY Txed	49	8	0	1	2	0	SRS
0.506929	UE  PHY Txed	50	6	0	1	0	0	DL_HARQ
0.506929	UE  PHY Txed	50	6	0	1	0	0	DL_HARQ
0.506929	UE  PHY Txed	50	6	0	1	0	0	DL_HARQ
0.506929	UE  PHY Txed	50	6	0	1	0	0	DL_HARQ
0.506929	UE  PHY Txed	50	6	0	1	0	0	DL_HARQ
0.506929	UE  PHY Txed	50	6	0	1	0	0	DL_HARQ
0.507857	UE  PHY Txed	50	7	0	1	5	0	SRS
0.507929	UE  PHY Txed	50	7	0	1	0	0	DL_CQI
0.507929	UE  PHY Txed	50	7	0	1	0	0	DL_HARQ
0.507929	UE  PHY Txed	50	7	0	1	0	0	DL_CQI
0.507929	UE  PHY Txed	50	7	0	1	0	0	DL_HARQ
0.507929	UE  PHY Txed	50	7	0	1	0	0	DL_CQI
0.507929	UE  PHY Txed	50	7	0	1	0	0	DL_HARQ
0.507929	UE  PHY Txed	50	7	0	1	0	0	DL_CQI
0.507929	UE  PHY Txed	50	7	0	1	0	0	DL_HARQ
0.507929	UE  PHY Txed	50	7	0	1	0	0	DL_CQI
0.507929	UE  PHY Txed	50	7	0	1	0	0	DL_HARQ
0.507929	UE  PHY Txed	50	7	0	1	0	0	DL_CQI
0.507929	UE  PHY Txed	50	7	0	1	0	0	DL_HARQ
0.508857	UE  PHY Txed	50	8	0	1	6	0	SRS
0.508929	UE  PHY Txed	50	8	0	1	0	0	DL_CQI
0.508929	UE  PHY Txed	50	8	0	1	0	0	DL_HARQ
0.508929	UE  PHY Txed	50	8	0	1	0	0	DL_CQI
0.508929	UE  PHY Txed	50	8	0	1	0	0	DL_HARQ
0.508929	UE  PHY Txed	50	8	0	1	0	0	DL_CQI
