% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
1.006	1	3	101	7	2	28	549	0
1.006	1	6	101	7	3	28	549	0
1.006	1	4	101	7	4	28	549	0
1.006	1	5	101	7	5	28	549	0
1.007	1	6	101	8	3	28	749	0
1.007	1	4	101	8	4	28	749	0
1.007	1	5	101	8	5	28	749	0
1.008	1	6	101	9	3	28	749	0
1.008	1	4	101	9	4	28	749	0
1.008	1	5	101	9	5	28	749	0
1.009	1	6	101	10	3	28	1095	0
1.009	1	5	101	10	5	28	1095	0
1.01	1	6	102	1	3	28	1095	0
1.01	1	5	102	1	5	28	1095	0
1.011	1	6	102	2	3	28	1095	0
1.011	1	5	102	2	5	28	1095	0
1.012	1	6	102	3	3	28	1095	0
1.012	1	5	102	3	5	28	1095	0
1.013	1	6	102	4	3	28	1095	0
1.013	1	5	102	4	5	28	1095	0
1.014	1	6	102	5	3	28	1095	0
1.014	1	5	102	5	5	28	1095	0
1.015	1	6	102	6	3	28	749	0
1.015	1	4	102	6	4	28	749	0
1.015	1	5	102	6	5	28	749	0
1.016	1	6	102	7	3	28	749	0
1.016	1	4	102	7	4	28	749	0
1.016	1	5	102	7	5	28	749	0
1.017	1	6	102	8	3	28	749	0
1.017	1	4	102	8	4	28	749	0
1.017	1	5	102	8	5	28	749	0
1.018	1	6	102	9	3	28	1095	0
1.018	1	5	102	9	5	28	1095	0
1.019	1	6	102	10	3	28	1095	0
1.019	1	5	102	10	5	28	1095	0
1.02	1	6	103	1	3	28	1095	0
1.02	1	5	103	1	5	28	1095	0
1.021	1	6	103	2	3	28	1095	0
1.021	1	5	103	2	5	28	1095	0
1.022	1	6	103	3	3	28	1095	0
1.022	1	5	103	3	5	28	1095	0
1.023	1	6	103	4	3	28	1095	0
1.023	1	5	103	4	5	28	1095	0
1.024	1	6	103	5	3	28	1095	0
1.024	1	5	103	5	5	28	1095	0
1.025	1	6	103	6	3	28	749	0
1.025	1	4	103	6	4	28	749	0
1.025	1	5	103	6	5	28	749	0
1.026	1	6	103	7	3	28	749	0
1.026	1	4	103	7	4	28	749	0
1.026	1	5	103	7	5	28	749	0
1.027	1	6	103	8	3	28	749	0
1.027	1	4	103	8	4	28	749	0
