Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.0179286	1	0	1	-94.5937
0.0179286	1	0	2	-93.4585
0.0179286	1	0	3	-92.5786
0.0179286	1	0	4	-101.625
0.0179286	1	0	5	-101.575
0.0179286	1	0	6	-95.574
0.0278571	1	0	5	-101.575
0.0288571	1	0	6	-95.574
0.0578571	1	0	1	-94.5937
0.0688571	1	0	4	-101.625
0.0698571	1	0	3	-92.5786
0.0988571	1	0	2	-93.4585
0.107857	1	0	5	-101.575
0.108857	1	0	6	-95.574
0.137857	1	0	1	-94.5937
0.148857	1	0	4	-101.625
0.149857	1	0	3	-92.5786
0.178857	1	0	2	-93.4585
0.187857	1	0	5	-101.575
0.188857	1	0	6	-95.574
0.217857	1	0	1	-94.5937
0.228857	1	0	4	-101.625
0.229857	1	0	3	-92.5786
0.258857	1	0	2	-93.4585
0.267857	1	0	5	-101.575
0.268857	1	0	6	-95.574
0.297857	1	0	1	-94.5937
0.308857	1	0	4	-101.625
0.309857	1	0	3	-92.5786
0.338857	1	0	2	-93.4585
0.347857	1	0	5	-101.575
0.348857	1	0	6	-95.574
0.377857	1	0	1	-94.5937
0.388857	1	0	4	-101.625
0.389857	1	0	3	-92.5786
0.418857	1	0	2	-93.4585
0.427857	1	0	5	-101.575
0.428857	1	0	6	-95.574
0.457857	1	0	1	-94.5937
0.468857	1	0	4	-101.625
0.469857	1	0	3	-92.5786
0.498857	1	0	2	-93.4585
0.506929	1	0	5	-101.575
0.506929	1	0	6	-95.574
0.506929	1	0	1	-94.5937
0.506929	1	0	4	-101.625
0.506929	1	0	3	-92.5786
0.506929	1	0	2	-93.4585
0.507857	1	0	5	-101.575
0.507929	1	0	6	-95.574
0.507929	1	0	1	-94.5937
0.507929	1	0	4	-101.625
0.507929	1	0	3	-92.5786
0.507929	1	0	2	-93.4585
0.507929	1	0	5	-101.575
0.508857	1	0	6	-95.574
0.508929	1	0	1	-94.5937
0.508929	1	0	4	-101.625
0.508929	1	0	3	-92.5786
0.508929	1	0	2	-93.4585
0.508929	1	0	5	-101.575
0.508929	1	0	6	-95.574
0.509929	1	0	1	-94.5937
0.509929	1	0	4	-101.625
0.509929	1	0	3	-92.5786
0.509929	1	0	2	-93.4585
0.509929	1	0	5	-101.575
0.509929	1	0	6	-95.574
0.510929	1	0	1	-94.5937
0.510929	1	0	4	-101.625
0.510929	1	0	3	-92.5786
0.510929	1	0	2	-93.4585
0.510929	1	0	5	-101.575
0.510929	1	0	6	-95.574
0.511929	1	0	1	-94.5937
0.511929	1	0	2	-93.4585
0.511929	1	0	5	-101.575
0.511929	1	0	6	-95.574
0.511929	1	0	4	-101.625
0.511929	1	0	3	-92.5786
0.512929	1	0	5	-101.575
0.512929	1	0	6	-95.574
0.512929	1	0	1	-94.5937
0.512929	1	0	2	-93.4585
0.512929	1	0	4	-101.625
0.512929	1	0	3	-92.5786
0.513929	1	0	5	-101.575
0.513929	1	0	6	-95.574
0.513929	1	0	1	-94.5937
0.513929	1	0	2	-93.4585
0.513929	1	0	4	-101.625
0.513929	1	0	3	-92.5786
0.514929	1	0	1	-94.5937
0.514929	1	0	2	-93.4585
0.514929	1	0	4	-101.625
0.514929	1	0	3	-92.5786
0.515929	1	0	1	-94.5937
0.515929	1	0	2	-93.4585
0.515929	1	0	4	-101.625
0.515929	1	0	3	-92.5786
0.516929	1	0	1	-94.5937
0.516929	1	0	2	-93.4585
0.516929	1	0	4	-101.625
0.516929	1	0	3	-92.5786
0.517929	1	0	1	-94.5937
0.517929	1	0	2	-93.4585
0.517929	1	0	4	-101.625
0.517929	1	0	3	-92.5786
0.518929	1	0	1	-94.5937
0.518929	1	0	2	-93.4585
0.518929	1	0	4	-101.625
0.518929	1	0	3	-92.5786
0.519929	1	0	1	-94.5937
0.519929	1	0	2	-93.4585
0.519929	1	0	4	-101.625
0.519929	1	0	3	-92.5786
0.520929	1	0	1	-94.5937
0.520929	1	0	2	-93.4585
0.520929	1	0	4	-101.625
0.520929	1	0	3	-92.5786
0.521929	1	0	1	-94.5937
0.521929	1	0	2	-93.4585
0.521929	1	0	4	-101.625
0.521929	1	0	3	-92.5786
0.522929	1	0	1	-94.5937
0.522929	1	0	2	-93.4585
0.522929	1	0	4	-101.625
0.522929	1	0	3	-92.5786
0.523929	1	0	1	-94.5937
0.523929	1	0	2	-93.4585
0.523929	1	0	4	-101.625
0.523929	1	0	3	-92.5786
0.524929	1	0	1	-94.5937
0.524929	1	0	2	-93.4585
0.524929	1	0	4	-101.625
0.524929	1	0	3	-92.5786
0.525929	1	0	1	-94.5937
0.525929	1	0	2	-93.4585
0.525929	1	0	4	-101.625
0.525929	1	0	3	-92.5786
0.526929	1	0	1	-94.5937
0.526929	1	0	2	-93.4585
0.526929	1	0	4	-101.625
0.526929	1	0	3	-92.5786
0.527929	1	0	1	-94.5937
0.527929	1	0	2	-93.4585
0.527929	1	0	4	-101.625
0.527929	1	0	3	-92.5786
0.528929	1	0	1	-94.5937
0.528929	1	0	2	-93.4585
0.528929	1	0	4	-101.625
0.528929	1	0	3	-92.5786
0.529929	1	0	1	-94.5937
0.529929	1	0	2	-93.4585
0.529929	1	0	4	-101.625
0.529929	1	0	3	-92.5786
0.530929	1	0	1	-94.5937
0.530929	1	0	2	-93.4585
0.530929	1	0	4	-101.625
0.530929	1	0	3	-92.5786
0.531929	1	0	1	-94.5937
0.531929	1	0	2	-93.4585
0.531929	1	0	4	-101.625
0.531929	1	0	3	-92.5786
0.532929	1	0	1	-94.5937
0.532929	1	0	2	-93.4585
0.532929	1	0	4	-101.625
0.532929	1	0	3	-92.5786
0.533929	1	0	1	-94.5937
0.533929	1	0	2	-93.4585
0.533929	1	0	4	-101.625
0.533929	1	0	3	-92.5786
0.534929	1	0	1	-94.5937
0.534929	1	0	2	-93.4585
0.534929	1	0	4	-101.625
0.534929	1	0	3	-92.5786
0.535929	1	0	1	-94.5937
0.535929	1	0	2	-93.4585
0.535929	1	0	4	-101.625
0.535929	1	0	3	-92.5786
0.536929	1	0	1	-94.5937
0.536929	1	0	2	-93.4585
0.536929	1	0	4	-101.625
0.536929	1	0	3	-92.5786
0.537857	1	0	1	-94.5937
0.537929	1	0	2	-93.4585
0.537929	1	0	4	-101.625
0.537929	1	0	3	-92.5786
0.537929	1	0	1	-94.5937
0.538929	1	0	2	-93.4585
0.538929	1	0	4	-101.625
0.538929	1	0	3	-92.5786
0.538929	1	0	1	-94.5937
0.539929	1	0	2	-93.4585
0.539929	1	0	1	-94.5937
0.539929	1	0	4	-101.625
0.539929	1	0	3	-92.5786
0.540929	1	0	2	-93.4585
0.540929	1	0	1	-94.5937
0.540929	1	0	4	-101.625
0.540929	1	0	3	-92.5786
0.541929	1	0	2	-93.4585
0.541929	1	0	1	-94.5937
0.541929	1	0	4	-101.625
0.541929	1	0	3	-92.5786
0.542929	1	0	2	-93.4585
0.542929	1	0	1	-94.5937
0.542929	1	0	4	-101.625
0.542929	1	0	3	-92.5786
0.543929	1	0	2	-93.4585
0.543929	1	0	1	-94.5937
0.543929	1	0	4	-101.625
0.543929	1	0	3	-92.5786
0.544929	1	0	2	-93.4585
0.544929	1	0	1	-94.5937
0.544929	1	0	4	-101.625
0.544929	1	0	3	-92.5786
0.545929	1	0	2	-93.4585
0.545929	1	0	1	-94.5937
0.545929	1	0	4	-101.625
0.545929	1	0	3	-92.5786
0.546929	1	0	2	-93.4585
0.546929	1	0	1	-94.5937
0.546929	1	0	4	-101.625
0.546929	1	0	3	-92.5786
0.547929	1	0	2	-93.4585
0.547929	1	0	1	-94.5937
0.547929	1	0	4	-101.625
0.547929	1	0	3	-92.5786
0.548857	1	0	4	-101.625
0.548929	1	0	2	-93.4585
0.548929	1	0	1	-94.5937
0.548929	1	0	3	-92.5786
0.548929	1	0	4	-101.625
0.549857	1	0	3	-92.5786
0.549929	1	0	2	-93.4585
0.549929	1	0	1	-94.5937
0.549929	1	0	4	-101.625
0.549929	1	0	3	-92.5786
0.550929	1	0	2	-93.4585
0.550929	1	0	1	-94.5937
0.550929	1	0	4	-101.625
0.550929	1	0	3	-92.5786
0.551929	1	0	2	-93.4585
0.551929	1	0	1	-94.5937
0.551929	1	0	4	-101.625
0.551929	1	0	3	-92.5786
0.552929	1	0	2	-93.4585
0.552929	1	0	1	-94.5937
0.552929	1	0	4	-101.625
0.552929	1	0	3	-92.5786
0.553929	1	0	2	-93.4585
0.553929	1	0	1	-94.5937
0.553929	1	0	4	-101.625
0.553929	1	0	3	-92.5786
0.554929	1	0	2	-93.4585
0.554929	1	0	1	-94.5937
0.554929	1	0	4	-101.625
0.554929	1	0	3	-92.5786
0.555929	1	0	2	-93.4585
0.555929	1	0	1	-94.5937
0.555929	1	0	4	-101.625
0.555929	1	0	3	-92.5786
0.556929	1	0	5	-101.575
0.556929	1	0	6	-95.574
0.556929	1	0	2	-93.4585
0.556929	1	0	1	-94.5937
0.556929	1	0	4	-101.625
0.556929	1	0	3	-92.5786
0.557929	1	0	5	-101.575
0.557929	1	0	6	-95.574
0.557929	1	0	2	-93.4585
0.557929	1	0	1	-94.5937
0.557929	1	0	4	-101.625
0.557929	1	0	3	-92.5786
0.558929	1	0	2	-93.4585
0.558929	1	0	1	-94.5937
0.558929	1	0	4	-101.625
0.558929	1	0	3	-92.5786
0.559929	1	0	2	-93.4585
0.559929	1	0	1	-94.5937
0.559929	1	0	4	-101.625
0.559929	1	0	3	-92.5786
0.560929	1	0	2	-93.4585
0.560929	1	0	1	-94.5937
0.560929	1	0	4	-101.625
0.560929	1	0	3	-92.5786
0.561929	1	0	2	-93.4585
0.561929	1	0	1	-94.5937
0.561929	1	0	4	-101.625
0.561929	1	0	3	-92.5786
0.562929	1	0	2	-93.4585
0.562929	1	0	1	-94.5937
0.562929	1	0	4	-101.625
0.562929	1	0	3	-92.5786
0.563929	1	0	2	-93.4585
0.563929	1	0	1	-94.5937
0.563929	1	0	4	-101.625
0.563929	1	0	3	-92.5786
0.564929	1	0	2	-93.4585
0.564929	1	0	1	-94.5937
0.564929	1	0	4	-101.625
0.564929	1	0	3	-92.5786
0.565929	1	0	2	-93.4585
0.565929	1	0	1	-94.5937
0.565929	1	0	4	-101.625
0.565929	1	0	3	-92.5786
0.566929	1	0	2	-93.4585
0.566929	1	0	1	-94.5937
0.566929	1	0	4	-101.625
0.566929	1	0	3	-92.5786
0.567929	1	0	2	-93.4585
0.567929	1	0	1	-94.5937
0.567929	1	0	4	-101.625
0.567929	1	0	3	-92.5786
0.568929	1	0	2	-93.4585
0.568929	1	0	1	-94.5937
0.568929	1	0	4	-101.625
0.568929	1	0	3	-92.5786
0.569929	1	0	2	-93.4585
0.569929	1	0	1	-94.5937
0.569929	1	0	4	-101.625
0.569929	1	0	3	-92.5786
0.570929	1	0	2	-93.4585
0.570929	1	0	1	-94.5937
0.570929	1	0	4	-101.625
0.570929	1	0	3	-92.5786
0.571929	1	0	2	-93.4585
0.571929	1	0	1	-94.5937
0.571929	1	0	4	-101.625
0.571929	1	0	3	-92.5786
0.572929	1	0	2	-93.4585
0.572929	1	0	1	-94.5937
0.572929	1	0	4	-101.625
0.572929	1	0	3	-92.5786
0.573929	1	0	2	-93.4585
0.573929	1	0	1	-94.5937
0.573929	1	0	4	-101.625
0.573929	1	0	3	-92.5786
0.574929	1	0	2	-93.4585
0.574929	1	0	1	-94.5937
0.574929	1	0	4	-101.625
0.574929	1	0	3	-92.5786
0.575929	1	0	2	-93.4585
0.575929	1	0	1	-94.5937
0.575929	1	0	4	-101.625
0.575929	1	0	3	-92.5786
0.576929	1	0	2	-93.4585
0.576929	1	0	1	-94.5937
0.576929	1	0	4	-101.625
0.576929	1	0	3	-92.5786
0.577929	1	0	2	-93.4585
0.577929	1	0	1	-94.5937
0.577929	1	0	4	-101.625
0.577929	1	0	3	-92.5786
0.578857	1	0	2	-93.4585
0.578929	1	0	1	-94.5937
0.578929	1	0	4	-101.625
0.578929	1	0	3	-92.5786
0.578929	1	0	2	-93.4585
0.579929	1	0	1	-94.5937
0.579929	1	0	2	-93.4585
0.579929	1	0	4	-101.625
0.579929	1	0	3	-92.5786
0.580929	1	0	1	-94.5937
0.580929	1	0	2	-93.4585
0.580929	1	0	4	-101.625
0.580929	1	0	3	-92.5786
0.581929	1	0	1	-94.5937
0.581929	1	0	2	-93.4585
0.581929	1	0	4	-101.625
0.581929	1	0	3	-92.5786
0.582929	1	0	1	-94.5937
0.582929	1	0	2	-93.4585
0.582929	1	0	4	-101.625
0.582929	1	0	3	-92.5786
0.583929	1	0	1	-94.5937
0.583929	1	0	2	-93.4585
0.583929	1	0	4	-101.625
0.583929	1	0	3	-92.5786
0.584929	1	0	1	-94.5937
0.584929	1	0	2	-93.4585
0.584929	1	0	4	-101.625
0.584929	1	0	3	-92.5786
0.585929	1	0	1	-94.5937
0.585929	1	0	2	-93.4585
0.585929	1	0	4	-101.625
0.585929	1	0	3	-92.5786
0.586929	1	0	1	-94.5937
0.586929	1	0	2	-93.4585
0.586929	1	0	4	-101.625
0.586929	1	0	3	-92.5786
0.587857	1	0	5	-101.575
0.587929	1	0	1	-94.5937
0.587929	1	0	2	-93.4585
0.587929	1	0	4	-101.625
0.587929	1	0	3	-92.5786
0.588857	1	0	6	-95.574
0.588929	1	0	1	-94.5937
0.588929	1	0	2	-93.4585
0.588929	1	0	4	-101.625
0.588929	1	0	3	-92.5786
0.589929	1	0	1	-94.5937
0.589929	1	0	2	-93.4585
0.589929	1	0	4	-101.625
