% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.321	1	1	1	5324.37	0
0.322	1	3	2	5322.78	0
0.323	1	6	3	5323.39	0
0.324	1	4	4	5322.97	0
0.325	1	5	5	5323.2	0
0.326	1	2	6	5323	0
0.641	1	1	1	5324.17	0
0.642	1	3	2	5322.79	0
0.643	1	6	3	5323.41	0
0.644	1	4	4	5322.99	0
0.645	1	5	5	5323.22	0
0.646	1	2	6	5322.94	0
0.961	1	1	1	5323.98	0
0.962	1	3	2	5322.8	0
0.963	1	6	3	5323.43	0
0.964	1	4	4	5323.02	0
0.965	1	5	5	5323.24	0
0.966	1	2	6	5322.88	0
1.281	1	1	1	5323.8	0
1.282	1	3	2	5322.82	0
1.283	1	6	3	5323.45	0
1.284	1	4	4	5323.04	0
1.285	1	5	5	5323.27	0
1.286	1	2	6	5322.84	0
1.601	1	1	1	5323.63	0
1.602	1	3	2	5322.84	0
1.603	1	6	3	5323.46	0
1.604	1	4	4	5323.07	0
1.605	1	5	5	5323.29	0
1.606	1	2	6	5322.81	0
1.921	1	1	1	5323.48	0
1.922	1	3	2	5322.86	0
1.923	1	6	3	5323.48	0
1.924	1	4	4	5323.09	0
1.925	1	5	5	5323.31	0
1.926	1	2	6	5322.79	0
2.241	1	1	1	5323.34	0
2.242	1	3	2	5322.89	0
2.244	1	4	4	5323.12	0
2.245	1	5	5	5323.33	0
2.246	1	2	6	5322.78	0
2.561	1	1	1	8.84882	0
2.561	2	6	1	8.61072	0
2.562	1	3	2	5322.91	0
2.564	1	4	4	5323.14	0
2.565	1	5	5	5323.35	0
2.566	1	2	6	5322.77	0
2.881	1	1	1	9.50273	0
2.881	2	6	1	7.97322	0
2.882	1	3	2	5322.93	0
2.884	1	4	4	5323.17	0
2.885	1	5	5	5323.37	0
2.886	1	2	6	5322.77	0
3.201	1	1	1	10.1575	0
3.201	2	6	1	7.35718	0
3.202	1	3	2	5322.96	0
3.204	1	4	4	5323.19	0
3.205	1	5	5	5323.39	0
3.206	1	2	6	5322.78	0
3.521	1	1	1	10.8017	0
3.521	2	6	1	6.76823	0
3.522	1	3	2	5322.98	0
3.524	1	4	4	5323.21	0
3.525	1	5	5	5323.41	0
3.526	1	2	6	5322.79	0
3.841	1	1	1	11.4226	0
3.841	2	6	1	6.21035	0
3.842	1	3	2	5323.01	0
3.844	1	4	4	5323.23	0
3.845	1	5	5	5323.42	0
3.846	1	2	6	5322.8	0
4.161	1	1	1	12.007	0
4.161	2	6	1	5.68602	0
4.162	1	3	2	5323.03	0
4.164	1	4	4	5323.26	0
4.166	1	2	6	5322.82	0
4.481	1	1	1	12.5419	0
4.481	2	6	1	5.19646	0
4.482	1	3	2	6.76623	0
4.482	2	5	2	0.864956	0
4.484	1	4	4	5323.28	0
4.486	1	2	6	5322.83	0
4.801	1	1	1	13.0151	0
4.801	2	6	1	4.74192	0
4.802	1	3	2	7.35483	0
4.802	2	5	2	0.785295	0
4.804	1	4	4	5323.3	0
4.806	1	2	6	5322.85	0
5.121	1	1	1	13.4165	0
5.121	2	6	1	4.32185	0
5.122	1	3	2	7.97054	0
5.122	2	5	2	0.712965	0
5.124	1	4	4	5323.32	0
5.126	1	2	6	5322.88	0
5.441	1	1	1	13.7384	0
5.441	2	6	1	3.93511	0
5.442	1	3	2	8.6077	0
5.442	2	5	2	0.647295	0
5.444	1	4	4	5323.34	0
5.446	1	2	6	5322.9	0
5.761	1	1	1	13.976	0
5.761	2	6	1	3.5802	0
5.762	1	3	2	9.25889	0
5.762	2	5	2	0.587677	0
5.764	1	4	4	5323.36	0
5.766	1	2	6	5322.92	0
6.081	1	1	1	14.1281	0
6.081	2	6	1	3.25533	0
6.082	1	3	2	9.91483	0
6.082	2	5	2	0.53356	0
