% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
1012	1	3	2	0	28	549	0	1	0
1012	1	4	4	0	28	549	0	1	0
1012	1	5	5	0	28	549	0	1	0
1013	1	4	4	0	28	749	0	1	0
1013	1	5	5	0	28	749	0	1	0
1014	1	4	4	0	28	749	0	1	0
1014	1	5	5	0	28	749	0	1	0
1015	1	5	5	0	28	1095	0	1	0
1015	1	6	3	0	28	1095	0	1	0
1016	1	5	5	0	28	1095	0	1	0
1016	1	6	3	0	28	1095	0	1	0
1017	1	5	5	0	28	1095	0	1	0
1018	1	5	5	0	28	1095	0	1	0
1019	1	5	5	0	28	1095	0	1	0
1019	1	6	3	0	28	1095	0	1	0
1020	1	5	5	0	28	1095	0	1	0
1021	1	4	4	0	28	749	0	1	0
1021	1	5	5	0	28	749	0	1	0
1021	1	6	3	0	28	749	0	1	0
1022	1	4	4	0	28	749	0	1	0
1022	1	5	5	0	28	749	0	1	0
1023	1	4	4	0	28	749	0	1	0
1023	1	5	5	0	28	749	0	1	0
1023	1	6	3	0	28	749	0	1	0
1024	1	5	5	0	28	1095	0	1	0
1024	1	6	3	0	28	1095	0	1	0
1025	1	5	5	0	28	1095	0	1	0
1026	1	5	5	0	28	1095	0	1	0
1026	1	6	3	0	28	1095	0	1	0
1027	1	5	5	0	28	1095	0	1	0
1028	1	5	5	0	28	1095	0	1	0
1028	1	6	3	0	28	1095	0	1	0
1029	1	5	5	0	28	1095	0	1	0
1030	1	5	5	0	28	1095	0	1	0
1031	1	4	4	0	28	749	0	1	0
1031	1	5	5	0	28	749	0	1	0
1032	1	4	4	0	28	749	0	1	0
1032	1	5	5	0	28	749	0	1	0
1032	1	6	3	0	28	749	0	1	0
1033	1	4	4	0	28	749	0	1	0
1033	1	5	5	0	28	749	0	1	0
1033	1	6	3	0	28	749	0	1	0
1034	1	5	5	0	28	1095	0	1	0
1034	1	6	3	0	28	1095	0	1	0
1035	1	5	5	0	28	1095	0	1	0
1036	1	5	5	0	28	1095	0	1	0
1036	1	6	3	0	28	1095	0	1	0
1037	1	5	5	0	28	1095	0	1	0
1038	1	5	5	0	28	1095	0	1	0
1039	1	5	5	0	28	1095	0	1	0
1039	1	6	3	0	28	1095	0	1	0
1040	1	5	5	0	28	1095	0	1	0
1040	1	6	3	0	28	1095	0	1	0
1041	1	4	4	0	28	749	0	1	0
1041	1	5	5	0	28	749	0	1	0
1042	1	4	4	0	28	749	0	1	0
1042	1	5	5	0	28	749	0	1	0
1043	1	4	4	0	28	749	0	1	0
1043	1	5	5	0	28	749	0	1	0
1044	1	6	3	0	28	2292	0	1	0
1045	1	6	3	0	28	2292	0	1	0
1046	1	6	3	0	28	2292	0	1	0
1047	1	6	3	0	28	2292	0	1	0
1048	1	6	3	0	28	2292	0	1	0
1049	1	6	3	0	28	2292	0	1	0
1050	1	6	3	0	28	2292	0	1	0
1051	1	4	4	0	28	749	0	1	0
1051	1	5	5	0	28	749	0	1	0
1051	1	6	3	0	28	749	0	1	0
1052	1	4	4	0	28	749	0	1	0
1052	1	5	5	0	28	749	0	1	0
1052	1	6	3	0	28	749	0	1	0
1053	1	4	4	0	28	749	0	1	0
1053	1	5	5	0	28	749	0	1	0
1054	1	5	5	0	28	1095	0	1	0
1054	1	6	3	0	28	1095	0	1	0
1055	1	5	5	0	28	1095	0	1	0
1056	1	5	5	0	28	2292	0	1	0
1057	1	5	5	0	28	2292	0	1	0
1059	1	5	5	0	28	2292	0	1	0
1060	1	5	5	0	28	2292	0	1	0
1061	1	4	4	0	28	749	0	1	0
1061	1	5	5	0	28	749	0	1	0
1061	1	6	3	0	28	749	0	1	0
1062	1	4	4	0	28	1095	0	1	0
1062	1	5	5	0	28	1095	0	1	0
1063	1	5	5	0	28	1095	0	1	0
1064	1	5	5	0	28	1095	0	1	0
1064	1	6	3	0	28	1095	0	1	0
1065	1	5	5	0	28	1095	0	1	0
1065	1	6	3	0	28	1095	0	1	0
1066	1	5	5	0	28	1095	0	1	0
1066	1	6	3	0	28	1095	0	1	0
1067	1	5	5	0	28	1095	0	1	0
1070	1	6	3	0	28	2292	0	1	0
1071	1	4	4	0	28	749	0	1	0
1071	1	5	5	0	28	749	0	1	0
1072	1	4	4	0	28	749	0	1	0
1072	1	5	5	0	28	749	0	1	0
1072	1	6	3	0	28	749	0	1	0
1073	1	4	4	0	28	749	0	1	0
1073	1	5	5	0	28	749	0	1	0
1073	1	6	3	0	28	749	0	1	0
1074	1	6	3	0	28	2292	0	1	0
1075	1	6	3	0	28	2292	0	1	0
1076	1	5	5	0	28	1095	0	1	0
1077	1	5	5	0	28	1095	0	1	0
1077	1	6	3	0	28	1095	0	1	0
1078	1	5	5	0	28	1095	0	1	0
1078	1	6	3	0	28	1095	0	1	0
1079	1	5	5	0	28	1095	0	1	0
1079	1	6	3	0	28	1095	0	1	0
1080	1	5	5	0	28	1095	0	1	0
1080	1	6	3	0	28	1095	0	1	0
1081	1	4	4	0	28	749	0	1	0
1081	1	5	5	0	28	749	0	1	0
1081	1	6	3	0	28	749	0	1	0
1082	1	4	4	0	28	749	0	1	0
1082	1	5	5	0	28	749	0	1	0
1082	1	6	3	0	28	749	0	1	0
1083	1	4	4	0	28	1095	0	1	0
1083	1	5	5	0	28	1095	0	1	0
1084	1	5	5	0	28	1095	0	1	0
1085	1	5	5	0	28	2292	0	1	0
1086	1	5	5	0	28	2292	0	1	0
1087	1	5	5	0	28	2292	0	1	0
1088	1	5	5	0	28	2292	0	1	0
1089	1	5	5	0	28	2292	0	1	0
1090	1	5	5	0	28	2292	0	1	0
1091	1	4	4	0	28	749	0	1	0
1091	1	5	5	0	28	749	0	1	0
1091	1	6	3	0	28	749	0	1	0
1092	1	4	4	0	28	749	0	1	0
1092	1	5	5	0	28	749	0	1	0
1093	1	4	4	0	28	1095	0	1	0
1093	1	6	3	0	28	1095	0	1	0
1099	1	6	3	0	28	2292	0	1	0
1101	1	4	4	0	28	749	0	1	0
1101	1	5	5	0	28	749	0	1	0
1101	1	6	3	0	28	749	0	1	0
1102	1	4	4	0	28	749	0	1	0
1102	1	5	5	0	28	749	0	1	0
1102	1	6	3	0	28	749	0	1	0
1103	1	4	4	0	28	749	0	1	0
1103	1	5	5	0	28	749	0	1	0
1104	1	5	5	0	28	1095	0	1	0
1105	1	5	5	0	28	1095	0	1	0
1106	1	5	5	0	28	1095	0	1	0
1106	1	6	3	0	28	1095	0	1	0
1107	1	5	5	0	28	1095	0	1	0
1108	1	5	5	0	28	1095	0	1	0
1109	1	6	3	0	28	1095	0	1	0
1110	1	5	5	0	28	1095	0	1	0
1111	1	4	4	0	28	749	0	1	0
1111	1	5	5	0	28	749	0	1	0
1112	1	4	4	0	28	749	0	1	0
1112	1	5	5	0	28	749	0	1	0
1113	1	4	4	0	28	749	0	1	0
1113	1	5	5	0	28	749	0	1	0
1113	1	6	3	0	28	749	0	1	0
1114	1	5	5	0	28	1095	0	1	0
1114	1	6	3	0	28	1095	0	1	0
1115	1	5	5	0	28	1095	0	1	0
1115	1	6	3	0	28	1095	0	1	0
1116	1	5	5	0	28	1095	0	1	0
1117	1	5	5	0	28	1095	0	1	0
1118	1	5	5	0	28	1095	0	1	0
1119	1	5	5	0	28	1095	0	1	0
1120	1	5	5	0	28	1095	0	1	0
1121	1	4	4	0	28	749	0	1	0
1121	1	5	5	0	28	749	0	1	0
1121	1	6	3	0	28	749	0	1	0
1122	1	4	4	0	28	749	0	1	0
1122	1	5	5	0	28	749	0	1	0
1122	1	6	3	0	28	749	0	1	0
1123	1	4	4	0	28	749	0	1	0
1123	1	5	5	0	28	749	0	1	0
1123	1	6	3	0	28	749	0	1	0
1124	1	5	5	0	28	1095	0	1	0
